Rank,Name,Team,Position,Week,Opponent,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
96,Jalen Richard,OAK,RB,12,DEN,1,8,8,0,1,1,6,1,0,0,8.4,8.4
96,JD McKissic,SEA,RB,13,PHI,1,-1,-1,0,1,1,15,1,0,0,8.4,8.4
96,Tevin Coleman,ATL,RB,16,NO,0,0,0,0,1,1,14,1,0,0,8.4,8.4
96,Rod Smith,DAL,RB,15,OAK,2,4,2,1,1,1,10,0,0,0,8.4,8.4
101,Derrick Henry,TEN,RB,9,BAL,3,9,3,1,1,1,4,0,0,0,8.3,8.3
101,Ameer Abdullah,DET,RB,10,CLE,2,10,5,1,1,1,3,0,0,0,8.3,8.3
101,Carlos Hyde,SF,RB,16,JAX,5,6,1.2,1,1,1,7,0,0,0,8.3,8.3
101,Le'Veon Bell,PIT,RB,16,HOU,4,15,3.8,1,1,1,-2,0,0,0,8.3,8.3
101,Alvin Kamara,NO,RB,15,NYJ,2,3,1.5,0,1,1,10,1,0,0,8.3,8.3
101,Bilal Powell,NYJ,RB,13,KC,7,1,0.1,1,4,2,2,0,0,0,8.3,8.3
107,Jacquizz Rodgers,TB,RB,2,CHI,7,22,3.1,1,0,0,0,0,0,0,8.2,8.2
107,Le'Veon Bell,PIT,RB,15,NE,6,22,3.7,1,0,0,0,0,0,0,8.2,8.2
107,Javorius Allen,BAL,RB,12,HOU,1,10,10,1,1,1,2,0,0,0,8.2,8.2
107,Jonathan Stewart,CAR,RB,1,SF,2,3,1.5,0,1,1,9,1,0,0,8.2,8.2
111,Jerick McKinnon,MIN,RB,8,CLE,1,1,1,1,0,0,0,0,0,0,8.1,8.1
111,Kareem Hunt,KC,RB,16,MIA,7,9,1.3,1,1,1,2,0,0,0,8.1,8.1
111,LeSean McCoy,BUF,RB,11,LAC,1,-1,-1,0,1,1,12,1,0,0,8.1,8.1
111,Duke Johnson,CLE,RB,14,GB,1,4,4,0,1,1,7,1,0,0,8.1,8.1
115,Aaron Jones,GB,RB,13,TB,1,20,20,1,0,0,0,0,0,0,8,8
115,Isaiah Crowell,CLE,RB,10,DET,4,20,5,1,0,0,0,0,0,0,8,8
115,Latavius Murray,MIN,RB,10,WAS,4,20,5,1,0,0,0,0,0,0,8,8
115,Jordan Howard,CHI,RB,11,DET,3,20,6.7,1,0,0,0,0,0,0,8,8
115,Damien Williams,MIA,RB,9,OAK,0,0,0,0,1,1,10,1,0,0,8,8
115,Leonard Fournette,JAX,RB,4,NYJ,0,0,0,0,1,1,10,1,0,0,8,8
115,Chris Carson,SEA,RB,3,TEN,0,0,0,0,1,1,10,1,0,0,8,8
115,Melvin Gordon,LAC,RB,16,NYJ,3,4,1.3,1,1,1,6,0,0,0,8,8
123,Alfred Morris,DAL,RB,13,WAS,8,19,2.4,1,0,0,0,0,0,0,7.9,7.9
123,Aaron Jones,GB,RB,4,CHI,4,19,4.8,1,0,0,0,0,0,0,7.9,7.9
123,Duke Johnson,CLE,RB,3,IND,1,19,19,1,0,0,0,0,0,0,7.9,7.9
123,Kyle Juszczyk,SF,FB,5,IND,1,3,3,0,1,1,6,1,0,0,7.9,7.9
123,LeGarrette Blount,PHI,RB,1,WAS,2,8,4,0,1,1,1,1,0,0,7.9,7.9
123,Chris Thompson,WAS,RB,7,PHI,1,2,2,0,1,1,7,1,0,0,7.9,7.9
123,Corey Clement,PHI,RB,7,WAS,0,0,0,0,1,1,9,1,0,0,7.9,7.9
123,James White,NE,RB,10,DEN,1,3,3,0,1,1,6,1,0,0,7.9,7.9
123,Benjamin Cunningham,CHI,RB,15,DET,0,0,0,0,2,1,9,1,0,0,7.9,7.9
132,Kenyan Drake,MIA,RB,12,NE,0,0,0,0,1,1,8,1,0,0,7.8,7.8
132,Mark Ingram,NO,RB,13,CAR,5,2,0.4,1,2,1,6,0,0,0,7.8,7.8
132,Theo Riddick,DET,RB,10,CLE,0,0,0,0,1,1,8,1,0,0,7.8,7.8
132,Ameer Abdullah,DET,RB,11,CHI,1,6,6,0,1,1,2,1,0,0,7.8,7.8
136,Kareem Hunt,KC,RB,2,PHI,3,17,5.7,1,0,0,0,0,0,0,7.7,7.7
136,Ezekiel Elliott,DAL,RB,9,KC,6,17,2.8,1,0,0,0,0,0,0,7.7,7.7
136,Ameer Abdullah,DET,RB,9,GB,5,17,3.4,1,0,0,0,0,1,0,7.7,7.7
136,Theo Riddick,DET,RB,1,ARI,0,0,0,0,1,1,7,1,0,0,7.7,7.7
136,Mark Ingram,NO,RB,15,NYJ,3,5,1.7,1,1,1,2,0,0,0,7.7,7.7
141,Devonta Freeman,ATL,RB,14,NO,6,16,2.7,1,0,0,0,0,0,0,7.6,7.6
141,Giovani Bernard,CIN,RB,3,GB,0,0,0,0,1,1,6,1,0,0,7.6,7.6
141,Charles Sims,TB,RB,10,NYJ,0,0,0,0,2,1,6,1,0,0,7.6,7.6
144,Leonard Fournette,JAX,RB,5,PIT,4,15,3.8,1,0,0,0,0,0,0,7.5,7.5
144,Jamaal Williams,GB,RB,13,TB,5,15,3,1,0,0,0,0,0,0,7.5,7.5
144,Jamaal Charles,DEN,RB,3,BUF,2,15,7.5,1,0,0,0,0,0,0,7.5,7.5
144,Corey Clement,PHI,RB,3,NYG,1,15,15,1,0,0,0,0,0,0,7.5,7.5
144,Ezekiel Elliott,DAL,RB,3,ARI,2,15,7.5,1,0,0,0,0,0,0,7.5,7.5
144,Bilal Powell,NYJ,RB,15,NO,4,15,3.8,1,0,0,0,0,0,0,7.5,7.5
144,Rod Smith,DAL,RB,14,NYG,1,15,15,1,0,0,0,0,0,0,7.5,7.5
144,Tevin Coleman,ATL,RB,2,GB,1,2,2,0,1,1,3,1,0,0,7.5,7.5
152,Mike Gillislee,NE,RB,2,NO,5,14,2.8,1,0,0,0,0,0,0,7.4,7.4
152,DeMarco Murray,TEN,RB,6,IND,4,14,3.5,1,0,0,0,0,0,0,7.4,7.4
