Rank,Name,Team,Position,Week,Opponent,SnapsPlayed,SnapsPlayedPercentage,RushSnapPercentage,TargetSnapPercentage,TouchSnapPercentage,IntendedTouchSnapPercentage,FantasyPointsDraftKings,FantasyPointSnapPercentageDraftKings
998,Jerick McKinnon,MIN,RB,2,PIT,23,34.8,13,21.7,26.1,34.8,5.5,23.9
998,Joe Mixon,CIN,RB,1,BAL,22,36.1,36.4,13.6,50,50,5.4,24.5
1004,LeSean McCoy,BUF,RB,2,CAR,40,74.1,30,17.5,45,47.5,10.3,25.8
1004,Wendell Smallwood,PHI,RB,8,SF,13,18.6,7.7,15.4,15.4,23.1,2.4,18.5
1004,Jamaal Williams,GB,RB,4,CHI,12,21.8,33.3,8.3,41.7,41.7,2.3,19.2
1007,Thomas Rawls,SEA,RB,7,NYG,30,39.5,36.7,6.7,40,43.3,5.2,17.3
1007,Marlon Mack,IND,RB,9,HOU,27,40.9,33.3,0,33.3,33.3,2.9,10.7
1007,Mike Tolbert,BUF,FB,10,NO,14,29.2,14.3,14.3,28.6,28.6,3.5,25
1007,Lawrence Thomas,NYJ,RB,3,MIA,14,22.2,0,7.1,7.1,7.1,2.5,17.9
1011,Carlos Hyde,SF,RB,12,SEA,64,90.1,25,20.3,35.9,45.3,13.8,21.6
1011,Kenyan Drake,MIA,RB,16,KC,54,94.7,24.1,5.6,24.1,29.6,5.7,10.6
1011,JD McKissic,SEA,RB,11,ATL,50,67.6,14,12,24,26,10.3,20.6
1011,Charles Sims,TB,RB,5,NE,32,44.4,3.1,21.9,18.8,25,8.4,26.2
1011,Lamar Miller,HOU,RB,15,JAX,31,50,29,12.9,35.5,41.9,5.3,17.1
1011,Benjamin Cunningham,CHI,RB,11,DET,17,27,0,11.8,5.9,11.8,2.8,16.5
1017,Adrian Peterson,ARI,RB,11,HOU,37,63.8,37.8,2.7,40.5,40.5,4.9,13.2
1017,Jamaal Charles,DEN,RB,6,NYG,20,24.7,25,15,30,40,3.1,15.5
1019,Carlos Hyde,SF,RB,8,PHI,45,68.2,26.7,20,35.6,46.7,8.7,19.3
1019,Marlon Mack,IND,RB,10,PIT,25,42.4,28,16,36,44,4.6,18.4
1021,Matt Forte,NYJ,RB,1,BUF,35,60.3,17.1,14.3,25.7,31.4,6.6,18.9
1021,Branden Oliver,LAC,RB,3,KC,33,45.2,24.2,18.2,36.4,42.4,7.4,22.4
1023,Christian McCaffrey,CAR,RB,4,NE,48,76.2,12.5,12.5,20.8,25,8.9,18.5
1023,Leonard Fournette,JAX,RB,10,LAC,45,53.6,37.8,8.9,42.2,46.7,6.6,14.7
1023,Christian McCaffrey,CAR,RB,2,BUF,43,63.2,18.6,11.6,27.9,30.2,8.4,19.5
1026,DeMarco Murray,TEN,RB,5,MIA,49,83.1,28.6,10.2,36.7,38.8,9.9,20.2
1026,DeMarco Murray,TEN,RB,14,ARI,47,78.3,23.4,6.4,27.7,29.8,6.7,14.3
1026,Mike Davis,SEA,RB,16,DAL,43,75.4,34.9,11.6,44.2,46.5,8.3,19.3
1026,TJ Yeldon,JAX,RB,11,CLE,20,25.6,25,10,30,35,3,15
1026,Josh Ferguson,IND,RB,13,JAX,16,23.2,0,18.8,18.8,18.8,4.6,28.8
1026,Andre Ellington,ARI,RB,9,SF,14,18.2,0,21.4,14.3,21.4,3.4,24.3
1026,CJ Ham,MIN,RB,7,BAL,12,18.2,0,8.3,8.3,8.3,2.2,18.3
1026,Jamaal Williams,GB,RB,2,ATL,11,14.5,18.2,9.1,27.3,27.3,2.1,19.1
1026,Cameron Artis-Payne,CAR,RB,8,TB,10,15.4,40,10,50,50,2,20
1026,Alfred Blue,HOU,RB,13,TEN,9,11.1,44.4,11.1,55.6,55.6,1.9,21.1
1026,Tyler Ervin,HOU,RB,3,NE,8,11.3,12.5,12.5,25,25,1.8,22.5
1026,Elijah McGuire,NYJ,RB,7,MIA,7,12.5,42.9,0,42.9,42.9,0.7,10
1026,Austin Ekeler,LAC,RB,3,KC,6,8.2,0,16.7,16.7,16.7,1.6,26.7
1026,Latavius Murray,MIN,RB,2,PIT,6,9.1,50,0,50,50,0.6,10
1026,Zach Zenner,DET,RB,12,MIN,6,10.2,16.7,0,16.7,16.7,0.6,10
1026,Chris Ivory,JAX,RB,11,CLE,6,7.7,100,0,100,100,0.6,10
1026,Kenjon Barner,PHI,RB,7,WAS,4,6.2,50,0,50,50,0.4,10
1026,Zach Zenner,DET,RB,13,BAL,4,6.3,25,0,25,25,0.4,10
1026,Joe Kerridge,GB,FB,11,BAL,3,4.5,0,33.3,33.3,33.3,1.3,43.3
1026,Akeem Hunt,KC,RB,11,NYG,3,4,33.3,0,33.3,33.3,0.3,10
1026,Eddie Lacy,SEA,RB,13,PHI,3,4.8,33.3,0,33.3,33.3,0.3,10
1026,Jacquizz Rodgers,TB,RB,16,CAR,2,3,50,0,50,50,0.2,10
1026,Fozzy Whittaker,CAR,RB,1,SF,1,1.5,100,0,100,100,0.1,10
1026,Terrell Watson,PIT,RB,4,BAL,1,1.3,100,0,100,100,0.1,10
1026,Terrell Watson,PIT,RB,2,MIN,1,1.4,100,0,100,100,0.1,10
1051,Aaron Jones,GB,RB,6,MIN,43,65.2,30.2,9.3,32.6,39.5,5.2,12.1
1051,Theo Riddick,DET,RB,16,CIN,40,62.5,20,10,27.5,30,6.9,17.2
1053,Shane Vereen,NYG,RB,15,PHI,31,35.2,16.1,16.1,32.3,32.3,8,25.8
1054,Kyle Juszczyk,SF,FB,4,ARI,24,28.6,4.2,12.5,16.7,16.7,5.3,22.1
1055,Charles Sims,TB,RB,4,NYG,22,34.4,4.5,4.5,9.1,9.1,3.1,14.1
1055,Jamaal Charles,DEN,RB,1,LAC,21,30.4,47.6,4.8,47.6,52.4,3,14.3
1055,Robert Turbin,IND,RB,3,CLE,21,31.8,23.8,9.5,28.6,33.3,3,14.3
1058,Jamaal Williams,GB,RB,16,MIN,62,92.5,24.2,4.8,24.2,29,5.8,9.4
1058,Chris Thompson,WAS,RB,9,SEA,33,52.4,12.1,18.2,24.2,30.3,7.1,21.5
1060,Charcandrick West,KC,RB,3,LAC,14,26.4,14.3,14.3,28.6,28.6,3.3,23.6
1060,Alan Cross,TB,FB,13,GB,14,18.4,0,7.1,7.1,7.1,2.3,16.4
1062,Derek Watt,LAC,FB,10,JAX,13,18.8,0,15.4,7.7,15.4,2.2,16.9
1062,Mike Tolbert,BUF,FB,14,IND,13,19.4,46.2,0,46.2,46.2,2.2,16.9
1062,Matt Breida,SF,RB,1,CAR,12,21.1,33.3,0,33.3,33.3,1.1,9.2
1065,TJ Yeldon,JAX,RB,9,CIN,35,43.8,31.4,11.4,37.1,42.9,6.2,17.7
1065,Rob Kelley,WAS,RB,1,PHI,33,52.4,30.3,3,30.3,33.3,3,9.1
1065,Damien Williams,MIA,RB,7,NYJ,22,30.1,9.1,13.6,18.2,22.7,4,18.2
1065,Branden Oliver,LAC,RB,1,DEN,11,18.6,36.4,9.1,36.4,45.5,1,9.1
1069,DeMarco Murray,TEN,RB,11,PIT,52,80,15.4,11.5,25,26.9,9.7,18.7
1069,Matt Forte,NYJ,RB,12,CAR,29,41.4,34.5,3.4,34.5,37.9,2.6,9
1069,Robert Turbin,IND,RB,5,SF,21,27.6,19,9.5,28.6,28.6,3.9,18.6
1069,Marshawn Lynch,OAK,RB,7,KC,10,12.2,20,0,20,20,0.9,9
1073,Melvin Gordon,LAC,RB,10,JAX,47,68.1,34,17,44.7,51.1,9.2,19.6
1073,Jay Ajayi,MIA,RB,8,BAL,46,69.7,28.3,8.7,37,37,8.1,17.6
1073,DJ Foster,ARI,RB,13,LAR,28,43.8,7.1,17.9,14.3,25,4.5,16.1
1073,Kyle Juszczyk,SF,FB,1,CAR,19,33.3,5.3,21.1,15.8,26.3,3.7,19.5
1073,Bobby Rainey,BAL,RB,7,MIN,9,13.8,0,22.2,22.2,22.2,2.8,31.1
1078,CJ Anderson,DEN,RB,3,BUF,49,70,16.3,4.1,20.4,20.4,6.3,12.9
1078,Paul Perkins,NYG,RB,3,PHI,34,49.3,26.5,5.9,32.4,32.4,5,14.7
1078,James White,NE,RB,3,HOU,32,49.2,15.6,3.1,18.8,18.8,3.8,11.9
1078,Elijah McGuire,NYJ,RB,6,NE,25,32.9,40,0,40,40,2.2,8.8
1078,Jamize Olawale,OAK,FB,4,DEN,17,31.5,5.9,11.8,17.6,17.6,3.5,20.6
1078,James Develin,NE,RB,4,CAR,16,22.9,0,12.5,12.5,12.5,3.4,21.2
1078,Jeremy Hill,CIN,RB,7,PIT,8,15.7,50,12.5,50,62.5,0.7,8.8
1085,Christian McCaffrey,CAR,RB,7,CHI,53,73.6,13.2,17,26.4,30.2,11.6,21.9
1085,JD McKissic,SEA,RB,9,WAS,30,36.1,10,10,16.7,20,4.6,15.3
1087,James Conner,PIT,RB,14,BAL,7,7.9,28.6,0,28.6,28.6,0.6,8.6
1088,Tarik Cohen,CHI,RB,10,GB,13,21.7,7.7,15.4,15.4,23.1,2.1,16.2
1088,Anthony Sherman,KC,FB,11,NYG,13,17.3,0,7.7,7.7,7.7,2.1,16.2
1090,Devonta Freeman,ATL,RB,16,NO,43,66.2,25.6,7,30.2,32.6,6.6,15.3
1090,Matt Breida,SF,RB,14,HOU,32,43.8,37.5,0,37.5,37.5,2.7,8.4
1090,Tevin Coleman,ATL,RB,7,NE,19,33.3,31.6,5.3,31.6,36.8,1.6,8.4
1090,Matt Breida,SF,RB,15,TEN,19,27.1,26.3,0,26.3,26.3,1.6,8.4
1094,Elijah McGuire,NYJ,RB,5,CLE,36,67.9,30.6,8.3,36.1,38.9,5,13.9
1094,Jordan Howard,CHI,RB,12,PHI,23,41.8,30.4,8.7,39.1,39.1,3.9,17
1094,James White,NE,RB,12,MIA,18,25.7,16.7,11.1,22.2,27.8,2.5,13.9
1094,Orleans Darkwa,NYG,RB,16,ARI,12,16.7,50,0,50,50,1,8.3
1094,Matt Dayes,CLE,RB,11,JAX,6,10.9,0,33.3,16.7,33.3,1.5,25
1099,Javorius Allen,BAL,RB,3,JAX,34,58.6,23.5,17.6,38.2,41.2,7.8,22.9
1099,Derrick Henry,TEN,RB,5,MIA,11,18.6,36.4,0,36.4,36.4,0.9,8.2
1101,Derrick Henry,TEN,RB,7,CLE,30,41.7,43.3,10,50,53.3,4.4,14.7
1101,Mike Tolbert,BUF,FB,9,NYJ,20,26.7,20,15,35,35,4.6,23
1101,Corey Grant,JAX,RB,4,NYJ,5,6.4,40,20,60,60,1.4,28
1101,Malcolm Brown,LAR,RB,16,TEN,5,7.2,20,0,20,20,0.4,8
1101,De'Angelo Henderson,DEN,RB,16,WAS,5,6.8,20,20,40,40,1.4,28
1106,Giovani Bernard,CIN,RB,2,HOU,33,51.6,15.2,12.1,21.2,27.3,4.6,13.9
1106,Paul Perkins,NYG,RB,2,DET,28,50,25,7.1,32.1,32.1,4.2,15
1106,Deandre Washington,OAK,RB,11,NE,24,32.4,12.5,12.5,20.8,25,3.9,16.2
