Rank,Name,Team,Position,Week,Opponent,UpcomingOpponentRank,UpcomingOpponentPositionRank,DraftKingsSalary,FantasyPointsDraftKings
137,Robert Turbin,IND,RB,15,DAL,4,4,null,0
137,Roc Thomas,MIN,RB,15,MIA,27,25,null,0
137,Dalyn Dawkins,TEN,RB,15,NYG,19,24,null,0
137,Paul Perkins,NYG,RB,15,TEN,7,5,null,0
137,Jalston Fowler,TEN,RB,15,NYG,19,24,null,0
137,Jonathan Stewart,NYG,RB,15,TEN,7,5,3000,0
137,Jamaal Charles,JAX,RB,15,WAS,16,14,null,0
137,Mack Brown,WAS,RB,15,JAX,5,9,null,0
137,Corey Grant,JAX,RB,15,WAS,16,14,3000,0
137,Bo Scarbrough,JAX,RB,15,WAS,16,14,null,0
137,Alan Cross,TB,FB,15,BAL,2,3,2500,0
137,Alex Collins,BAL,RB,15,TB,31,29,null,0
137,Tyler Ervin,BAL,RB,15,TB,31,29,null,0
137,Jerick McKinnon,SF,RB,15,SEA,11,18,null,0
137,CJ Prosise,SEA,RB,15,SF,24,19,null,0
137,Raheem Mostert,SF,RB,15,SEA,11,18,null,0
137,JD McKissic,SEA,RB,15,SF,24,19,3000,0
137,Jeremy Hill,NE,RB,15,PIT,13,8,null,0
137,Le'Veon Bell,PIT,RB,15,NE,22,17,3000,0
137,Jay Ajayi,PHI,RB,15,LAR,18,11,3000,0
137,Malcolm Brown,LAR,RB,15,PHI,25,13,3000,0
137,Donnel Pumphrey,PHI,RB,15,LAR,18,11,null,0
137,Elijah Hood,CAR,RB,15,NO,14,2,3000,0
137,Daniel Lasco,NO,RB,15,CAR,23,6,null,0
137,Fozzy Whittaker,CAR,RB,15,NO,14,2,null,0
