Name,DraftKingsSalary,DPointsAllowed,Home,PointSpread,OverUnder,total,Rank,Team,TargetsGame,RecGame,RecPercentage,RecYardsGame,RecTdGame,YardsTarget,RecYardsRec,RushesGame,RushYardsGame,YardAttempt,RushTdGame,PointsGame,RZTargetsGame,RZRecGame,RZRecPercentage,RZRecYardsGame,RZRecTdGame,RZYardsTarget,RZRecYardsRec,RZRushesGame,RZRushYardsGame,RZYardAttempt,RZRushTdGame,RZPointsGame,Projections
Courtland Sutton,3900,35.88,TRUE,-1,46,23.5,62,DEN,4.625,2.125,45.9,40.5,0.25,8.8,19.1,0,0,0,0,7.7,0.5,0.125,25,1,0.125,2,8,0,0,0,0,1,10.48310772
Keke Coutee,5300,36.84,FALSE,1,46,22.5,76,HOU,7.5,5.25,70,49,0.25,6.5,9.3,0.75,0,0,0,12.4,0.75,0.75,100,0.25,0.25,0.3,0.3,0,0,0,0,2.3,10.42530829
Kenny Stills,4300,45.59,TRUE,-3,44,23.5,52,MIA,4.142857143,2.285714286,55.2,40.14285714,0.571428571,9.7,17.6,0,0,0,0,10.4,0.285714286,0.285714286,100,2.142857143,0.285714286,7.5,7.5,0,0,0,0,2.5,10.29731473
Robby Anderson,4300,37.36,FALSE,3,44,20.5,57,NYJ,5.142857143,2.428571429,47.2,44.85714286,0.428571429,8.7,18.5,0.142857143,-1.285714286,-9,0,9.5,0,0,0,0,0,0,0,0,0,0,0,0,10.27866577
Adam Humphries,3600,35.67,FALSE,6,55,24.5,69,TB,6,3.857142857,64.3,42.28571429,0,7,11,0.142857143,0.571428571,4,0,8.1,0.428571429,0.285714286,66.7,3.142857143,0,7.3,11,0,0,0,0,0.6,10.07553716
Kelvin Benjamin,3500,43.06,TRUE,10,37.5,13.75,80,BUF,5.5,2,36.4,32.75,0.125,6,16.4,0,0,0,0,6,0.375,0.125,33.3,0.375,0.125,1,3,0,0,0,0,0.9,10.06582662
Josh Doctson,4200,47.83,TRUE,-1.5,48.5,25,102,WAS,5,2.666666667,53.3,26.5,0,5.3,9.9,0,0,0,0,5.3,0.5,0,0,0,0,0,0,0,0,0,0,0,9.937695864
Curtis Samuel,3500,49.79,TRUE,-6,55,30.5,109,CAR,2,1.5,75,20.25,0.25,10.1,13.5,0.5,2.25,4.5,1,6.8,0,0,0,0,0,0,0,0.25,3.5,14,0.25,1.8,9.768899975
Mohamed Sanu,5100,38.7,FALSE,1.5,48.5,23.5,48,ATL,5,3.428571429,68.6,46.28571429,0.428571429,9.3,13.5,0.142857143,-0.571428571,-4,0,11.3,0.428571429,0.428571429,100,4.285714286,0.142857143,10,10,0,0,0,0,2,9.766192673
Antonio Callaway,4200,39.26,TRUE,8,51,21.5,64,CLE,5.5,2.625,47.7,29.5,0.25,5.4,11.2,0.25,0.875,3.5,0,7.4,0.5,0.25,50,-0.625,0.125,-1.2,-2.5,0,0,0,0,1.2,9.682899727
Anthony Miller,3700,33.84,FALSE,-10,37.5,23.75,78,CHI,4.833333333,2.333333333,48.3,26.83333333,0.5,5.6,11.5,0.166666667,1.166666667,7,0,8.1,0.833333333,0.333333333,40,2.333333333,0.333333333,2.8,7,0,0,0,0,2.6,9.682307557
Tajae Sharpe,3800,29.7,FALSE,5.5,40.5,17.5,78,TEN,3.428571429,2.285714286,66.7,31.71428571,0.142857143,9.2,13.9,0.142857143,2.285714286,16,0,7,0.714285714,0.285714286,40,2.428571429,0.142857143,3.4,8.5,0,0,0,0,1.4,9.626306455
Chris Hogan,4200,38.21,TRUE,-5.5,56.5,31,55,NE,4,2.875,71.9,41.625,0.25,10.4,14.5,0,0,0,0,8.5,0.25,0.125,50,0.875,0.125,3.5,7,0,0,0,0,1,9.623892995
Marquez Valdes-Scantling,4700,36.25,FALSE,5.5,56.5,25.5,72,GB,3.714285714,2,53.8,36.71428571,0.285714286,9.9,18.4,0,0,0,0,7.8,0.714285714,0.285714286,40,2.142857143,0.142857143,3,7.5,0,0,0,0,1.4,9.559122305
Pierre Garcon,4300,38.57,TRUE,-1,44,22.5,88,SF,5.714285714,3,52.5,32.85714286,0,5.8,11,0,0,0,0,6.3,0.428571429,0.142857143,33.3,0.571428571,0,1.3,4,0,0,0,0,0.2,9.493552455
Michael Gallup,3700,41.56,TRUE,-5.5,40.5,23,97,DAL,3.142857143,1.428571429,45.5,27.14285714,0.142857143,8.6,19,0,0,0,0,5,0.571428571,0.142857143,25,0.857142857,0,1.5,6,0,0,0,0,0.2,9.295881608
Seth Roberts,3700,41.09,FALSE,1,44,21.5,83,OAK,4.166666667,2.833333333,68,30,0.333333333,7.2,10.6,0,0,0,0,7.8,0.333333333,0.166666667,50,3.333333333,0.166666667,10,20,0,0,0,0,1.5,9.071707781
Rashard Higgins,3700,39.26,TRUE,8,51,21.5,85,CLE,4.6,3.2,69.6,48.8,0.2,10.6,15.2,0,0,0,0,9.3,0.2,0.2,100,3.8,0.2,19,19,0,0,0,0,1.8,9.069221105
Doug Baldwin,5300,38.13,TRUE,-1,48,24.5,104,SEA,4,2.8,70,31.8,0,8,11.4,0,0,0,0,6,0.6,0,0,0,0,0,0,0,0,0,0,0,8.941890109
Torrey Smith,3500,49.79,TRUE,-6,55,30.5,82,CAR,4.5,2.666666667,59.3,28.5,0.333333333,6.3,10.7,0,0,0,0,7.8,0.5,0.5,100,2.333333333,0.333333333,4.7,4.7,0,0,0,0,3.1,8.741574772
Tre'Quan Smith,4200,36.09,TRUE,1,60,29.5,87,NO,2.428571429,1.428571429,58.8,27.28571429,0.285714286,11.2,19.1,0,0,0,0,6.3,0.428571429,0,0,0,0,0,0,0,0,0,0,0,8.71090071
Cordarrelle Patterson,3200,38.21,TRUE,-5.5,56.5,31,84,NE,1.875,1.375,73.3,14.25,0.25,7.6,10.4,2.125,9.25,4.4,0,5.8,0.375,0.125,33.3,0.125,0.125,0.3,1,0.5,1.25,2.5,0,1,8.70503929
Allen Hurns,3400,41.56,TRUE,-5.5,40.5,23,98,DAL,4,1.857142857,46.4,22.57142857,0.142857143,5.6,12.2,0,0,0,0,5,0.571428571,0.142857143,25,0.428571429,0.142857143,0.8,3,0,0,0,0,1,8.497945597
Dante Pettis,3500,38.57,TRUE,-1,44,22.5,124,SF,1.6,0.6,37.5,19.2,0.2,12,32,0,0,0,0,3.7,0.2,0,0,0,0,0,0,0,0,0,0,0,8.368151689
Martavis Bryant,3500,41.09,FALSE,1,44,21.5,96,OAK,3.666666667,2.333333333,63.6,36.66666667,0,10,15.7,0.166666667,0.666666667,4,0,5.9,0.333333333,0.333333333,100,0.5,0,1.5,1.5,0,0,0,0,0.4,8.366291591
Jermaine Kearse,4200,37.36,FALSE,3,44,20.5,91,NYJ,5.571428571,2.714285714,48.7,27.85714286,0,5,10.3,0,0,0,0,5.5,0.428571429,0.285714286,66.7,2.285714286,0,5.3,8,0,0,0,0,0.5,8.309400629
Maurice Harris,3300,47.83,TRUE,-1.5,48.5,25,121,WAS,3.4,2.2,64.7,20.4,0,6,9.3,0.2,1.2,6,0,4.4,0.4,0.2,50,0.4,0,1,2,0,0,0,0,0.2,8.238461828
Tavon Austin,3000,41.56,TRUE,-5.5,40.5,23,93,DAL,1.666666667,1.166666667,70,21.66666667,0.333333333,13,18.6,1,9.166666667,9.2,0,6.2,0.166666667,0.166666667,100,0.5,0.166666667,3,3,0,0,0,0,1.2,8.234958835
David Moore,3900,38.13,TRUE,-1,48,24.5,68,SEA,2,1.571428571,78.6,31.57142857,0.571428571,15.8,20.1,0.142857143,0.714285714,5,0,8.2,0.428571429,0.428571429,100,5.285714286,0.428571429,12.3,12.3,0,0,0,0,3.5,8.080935
Josh Reynolds,4500,55.04,FALSE,-1,60,30.5,105,LAR,1.5,0.875,58.3,12.25,0.25,8.2,14,0.25,1,4,0,3.7,0.375,0.375,100,4.875,0.25,13,13,0.125,-0.25,-2,0,2.3,7.764838524
Laquon Treadwell,3300,34.44,TRUE,-4.5,49,26.75,73,MIN,4.625,3.125,67.6,27,0.125,5.8,8.6,0,0,0,0,6.6,0.375,0.25,66.7,2.375,0.125,6.3,9.5,0,0,0,0,1.2,7.718184882
Equanimeous St. Brown,3400,36.25,FALSE,5.5,56.5,25.5,122,GB,2,1.5,75,34.75,0,17.4,23.2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,7.608543701
Brandon Marshall,3300,38.13,TRUE,-1,48,24.5,103,SEA,3.285714286,1.571428571,47.8,19.42857143,0.142857143,5.9,12.4,0,0,0,0,4.4,0.428571429,0.142857143,33.3,2.857142857,0.142857143,6.7,20,0,0,0,0,1.3,7.516374183
