Name,DraftKingsSalary,DPointsAllowed,Home,PointSpread,OverUnder,total,Team,Rank,RushesGame,RushYardGame,YardAttempt,RushTdGame,TargetsGame,RecGame,RecYardsGame,RecTdGame,PointsGame,RZattemptsGame,RZyardsGame,RZYardAtt,RZTDGame,RZTarGame,RZRecGame,RZRecYarGame,RZRecTDGame,RZPointsGame,Projections
CJ Prosise,3000,24.54,TRUE,-1,48,24.5,SEA,97,0,0,0,0,0.75,0.75,5.5,0,1.3,0,0,0,0,0,0,0,0,0,3.478876213
Samaje Perine,3000,33.41,TRUE,-1.5,48.5,25,WAS,122,1.5,2.5,1.7,0,0.5,0.5,-1.5,0,0.6,0,0,0,0,0,0,0,0,0,3.354812181
Benjamin Cunningham,3200,28.11,FALSE,-10,37.5,23.75,CHI,112,0.571428571,1.142857143,2,0,0.285714286,0.142857143,1.285714286,0,0.4,0,0,0,0,0,0,0,0,0,3.294016267
Tyler Ervin,3200,28.29,FALSE,1,46,22.5,HOU,94,0,0,0,0,0.5,0.375,4.375,0,0.8,0,0,0,0,0.125,0,0,0,0,3.287597095
Rob Kelley,3000,33.41,TRUE,-1.5,48.5,25,WAS,126,2,4,2,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,3.233030096
Ameer Abdullah,3000,21.46,FALSE,4.5,49,22.25,DET,110,0.333333333,0.333333333,1,0,0.666666667,0.666666667,6,0,1,0,0,0,0,0,0,0,0,0,3.227982013
Jaylen Samuels,3000,15.7,FALSE,3,47.5,22.25,PIT,115,0.8,3.4,4.2,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,3.194301836
Dwayne Washington,3000,22.31,TRUE,1,60,29.5,NO,130,2,2,1,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,3.189901878
Kalen Ballage,3200,25.45,TRUE,-3,44,23.5,MIA,124,0.75,2.5,3.3,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,3.132588503
Deandre Washington,3300,27.45,FALSE,1,44,21.5,OAK,128,1,4,4,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,3.100631299
Tre Madden,3000,24.54,TRUE,-1,48,24.5,SEA,114,0.428571429,0.428571429,1,0,0.285714286,0.142857143,1,0,0.3,0,0,0,0,0,0,0,0,0,3.007628151
Dontrell Hilliard,3000,33.66,TRUE,8,51,21.5,CLE,107,0,0,0,0,0.333333333,0.333333333,8,0,1.1,0,0,0,0,0,0,0,0,0,2.998108319
Jamize Olawale,3000,17.8,TRUE,-5.5,40.5,23,DAL,120,0,0,0,0,0.142857143,0.142857143,0.428571429,0,0.2,0,0,0,0,0.142857143,0.142857143,0.428571429,0,0.2,2.991780139
