Rank,Name,Team,Position,Played,SnapsPlayed,SnapsPerGame,SnapsPlayedPercentage,RushSnapPercentage,TargetSnapPercentage,TouchSnapPercentage,IntendedTouchSnapPercentage,FantasyPointsDraftKings,FantasyPointSnapPercentageDraftKings
26,Antonio Brown,PIT,WR,11,740,67.3,94.6,0,16.5,9.7,16.6,233.4,31.5
27,Emmanuel Sanders,DEN,WR,11,618,56.2,85.6,0.6,14.9,11.7,15.7,201.32,32.6
27,Keenan Allen,LAC,WR,11,562,51.1,82.6,1.4,16.7,13.7,18.1,190.3,33.9
27,Derrick Willies,CLE,WR,5,30,6,7.7,0,16.7,10,16.7,9.1,30.3
30,JuJu Smith-Schuster,PIT,WR,11,656,59.6,83.9,0.2,16.8,11.9,16.9,227.8,34.7
31,Mike Williams,LAC,WR,11,426,38.7,62.6,0.9,9.2,6.6,10.1,109.5,25.7
32,Stefon Diggs,MIN,WR,10,613,61.3,82.3,1.3,18.8,14.2,20.1,212.8,34.7
32,Tyler Boyd,CIN,WR,11,604,54.9,88,0.3,14.7,10.9,15.2,192.4,31.9
34,Will Fuller,HOU,WR,7,375,53.6,77,0,12,8.5,12,115.3,30.7
35,DeAndre Hopkins,HOU,WR,11,746,67.8,99.3,0.1,13.7,10.1,13.9,232.7,31.2
35,D.J. Moore,CAR,WR,11,397,36.1,57.4,2.3,12.1,11.8,14.4,120.4,30.3
37,Tyler Lockett,SEA,WR,11,620,56.4,85.4,1.3,8.7,8.2,10,164.9,26.6
38,Brandin Cooks,LAR,WR,11,672,61.1,89.5,1,12.5,9.8,13.5,198.5,29.5
38,David Moore,SEA,WR,11,388,35.3,53.4,0.3,9.5,5.9,9.8,96.8,24.9
40,Golden Tate,PHI,WR,10,460,46,72.1,0.9,19.3,12.8,20.2,143.8,31.3
40,Chris Godwin,TB,WR,11,452,41.1,57.2,0,13.5,9.7,13.5,129.5,28.7
42,Geronimo Allison,GB,WR,5,241,48.2,59.1,0,12.4,8.3,12.4,62.3,25.9
42,Robert Foster,BUF,WR,8,164,20.5,32.2,0,9.8,4.3,9.8,38.9,23.7
44,Julian Edelman,NE,WR,7,433,61.9,87.7,1.2,14.1,11.8,15.7,125.52,29
45,Robert Woods,LAR,WR,11,725,65.9,96.5,1.8,12.4,9.9,14.2,193.5,26.7
45,Ryan Switzer,PIT,WR,11,169,15.4,21.6,3,19.5,18.9,22.5,56.2,33.3
47,Anthony Miller,CHI,WR,10,424,42.4,63.5,0.7,11.3,7.8,12.3,103.62,24.4
48,Marcus Johnson,IND,WR,5,95,19,26.2,1.1,8.4,7.4,9.5,22,23.2
49,Tyrell Williams,LAC,WR,11,500,45.5,73.5,0.4,8.4,6,8.8,117.4,23.5
50,Amari Cooper,DAL,WR,10,528,52.8,77.5,0.2,11.9,8.5,12.1,140.8,26.7
51,Kenny Golladay,DET,WR,11,674,61.3,91.2,0.1,12.5,7.9,12.6,169.2,25.1
51,Ted Ginn,NO,WR,4,170,42.5,60.9,1.8,12.9,8.8,14.7,41.1,24.2
53,John Brown,BAL,WR,11,546,49.6,66.4,0.5,13.7,7.1,14.3,131.3,24
53,Tre'Quan Smith,NO,WR,10,372,37.2,50.1,0,8.9,5.9,8.9,89.1,24
55,Sammy Watkins,KC,WR,10,462,46.2,64.6,1.1,11.9,9.7,13,121.1,26.2
