Rank,Name,Team,Position,Played,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
129,Trey Quinn,WAS,WR,3,10,9,90,75,1,15,7.5,8.3,1,0,0,0,0,0,7.5,22.5
130,Marcus Johnson,IND,WR,5,8,6,75,102,1,34,12.8,17,1,-2,-2,0,0,0,4.4,22
131,James Washington,PIT,WR,10,25,8,32,77,1,14,3.1,9.6,0,0,0,0,0,0,2.2,21.7
132,Keith Kirkwood,NO,WR,3,10,6,60,83,1,42,8.3,13.8,0,0,0,0,0,0,6.8,20.3
133,Leonte Carroo,MIA,WR,4,3,2,66.7,94,1,74,31.3,47,1,14,14,0,0,0,4.7,18.8
134,Tim Patrick,DEN,WR,11,11,4,36.4,73,1,26,6.6,18.2,1,13,13,0,0,0,1.7,18.6
135,Darius Jennings,TEN,WR,11,6,5,83.3,55,0,36,9.2,11,0,0,0,0,0,0,1.6,17.34
136,Bennie Fowler,NYG,WR,5,13,8,61.5,92,0,21,7.1,11.5,0,0,0,0,1,0,3.4,17.2
137,Cody Latimer,NYG,WR,4,9,6,66.7,108,0,39,12,18,0,0,0,0,0,0,4.2,16.8
138,TJ Jones,DET,WR,10,12,8,66.7,78,0,26,6.5,9.8,0,0,0,0,0,0,1.6,15.8
139,Isaiah McKenzie,BUF,WR,3,4,3,75,25,0,14,6.2,8.3,5,40,8,1,1,0,5.2,15.5
140,Justin Hardy,ATL,WR,11,13,8,61.5,74,0,17,5.7,9.2,0,0,0,0,1,0,1.4,15.4
141,Cameron Batson,TEN,WR,6,9,7,77.8,75,0,26,8.3,10.7,1,1,1,0,0,0,2.4,14.6
142,Richie James,SF,WR,8,6,5,83.3,94,0,53,15.7,18.8,0,0,0,0,0,0,1.8,14.4
143,Russell Shepard,NYG,WR,9,9,5,55.6,90,0,40,10,18,0,0,0,0,0,0,1.6,14
144,Travis Benjamin,LAC,WR,7,14,6,42.9,63,0,27,4.5,10.5,3,15,5,0,0,0,2,13.8
144,Breshad Perriman,CLE,WR,5,11,6,54.5,81,0,18,7.4,13.5,3,-3,-1,0,0,0,2.8,13.8
146,Marcell Ateman,OAK,WR,2,15,7,46.7,66,0,32,4.4,9.4,0,0,0,0,0,0,6.8,13.6
147,Alex Erickson,CIN,WR,11,15,8,53.3,44,0,10,2.9,5.5,1,8,8,0,0,0,1.2,13.2
148,De'Anthony Thomas,KC,WR,5,5,3,60,29,1,15,5.8,9.7,1,6,6,0,1,0,2.5,12.5
149,Deontay Burnett,NYJ,WR,3,8,5,62.5,70,0,29,8.8,14,0,0,0,0,0,0,4,12
150,Andre Roberts,NYJ,WR,11,9,3,33.3,25,0,20,2.8,8.3,1,2,2,0,2,0,1.1,11.7
151,Cody Core,CIN,WR,9,12,6,50,54,0,18,4.5,9,0,0,0,0,0,0,1.3,11.4
152,Kamar Aiken,PHI,WR,5,7,6,85.7,53,0,18,7.6,8.8,0,0,0,0,0,0,2.3,11.3
153,Daesean Hamilton,DEN,WR,9,8,5,62.5,61,0,24,7.6,12.2,0,0,0,0,0,0,1.2,11.1
154,Neal Sterling,NYJ,WR,5,8,6,75,47,0,12,5.9,7.8,0,0,0,0,0,0,2.1,10.7
155,Kevin White,CHI,WR,8,5,3,60,70,0,54,14,23.3,0,0,0,0,0,0,1.2,10
156,Tommylee Lewis,NO,WR,3,1,1,100,28,1,28,28,28,0,0,0,0,0,0,3.3,9.8
157,Michael Floyd,WAS,WR,8,11,4,36.4,53,0,20,4.8,13.2,0,0,0,0,0,0,1.2,9.3
157,Dwayne Harris,OAK,WR,10,5,5,100,31,0,13,6.2,6.2,2,12,6,0,1,0,0.9,9.3
159,Derrick Willies,CLE,WR,5,5,3,60,61,0,39,12.2,20.3,0,0,0,0,1,0,1.8,9.1
160,Chad Beebe,MIN,WR,2,4,4,100,39,0,18,9.8,9.8,0,0,0,0,0,0,4,7.9
161,JJ Nelson,ARI,WR,11,12,4,33.3,21,0,9,1.8,5.2,3,5,1.7,0,0,0,0.6,6.6
162,Deandre Carter,HOU,WR,9,3,3,100,35,0,14,11.7,11.7,0,0,0,0,2,0,0.7,6.5
163,Shelton Gibson,PHI,WR,11,3,1,33.3,48,0,48,16,48,0,0,0,0,0,0,0.5,5.8
163,Ray-Ray McCloud,BUF,WR,7,5,4,80,31,0,16,6.2,7.8,1,-3,-3,0,2,1,0.8,5.8
165,Justin Hunter,PIT,WR,4,10,3,30,21,0,12,2.1,7,0,0,0,0,0,0,1.3,5.1
166,Auden Tate,CIN,WR,3,9,3,33.3,20,0,11,2.2,6.7,0,0,0,0,0,0,1.7,5
167,Brian Quick,WAS,WR,6,3,3,100,18,0,6,6,6,0,0,0,0,0,0,0.8,4.8
167,Rashad Greene,JAX,WR,4,4,3,75,28,0,11,7,9.3,0,0,0,0,1,1,1.2,4.8
169,Jawill Davis,NYG,WR,3,6,2,33.3,27,0,22,4.5,13.5,0,0,0,0,0,0,1.6,4.7
170,Charone Peake,NYJ,WR,8,3,2,66.7,25,0,14,8.3,12.5,0,0,0,0,0,0,0.6,4.5
171,Rishard Matthews,NYJ,WR,6,7,3,42.9,11,0,4,1.6,3.7,0,0,0,0,0,0,0.7,4.1
172,Corey Coleman,NYG,WR,3,3,2,66.7,20,0,11,6.7,10,0,0,0,0,0,0,1.3,4
173,Vyncint Smith,HOU,WR,5,4,1,25,28,0,28,7,28,0,0,0,0,0,0,0.8,3.8
173,Terrance Williams,DAL,WR,3,3,2,66.7,18,0,12,6,9,0,0,0,0,0,0,1.3,3.8
175,Khadarel Hodge,LAR,WR,8,2,2,100,17,0,14,8.5,8.5,0,0,0,0,0,0,0.5,3.7
175,Nick Williams,LAR,WR,4,4,2,50,17,0,11,4.2,8.5,0,0,0,0,0,0,0.9,3.7
177,Brandon Zylstra,MIN,WR,11,1,1,100,23,0,23,23,23,0,0,0,0,0,0,0.3,3.3
178,Noah Brown,DAL,WR,3,2,1,50,22,0,22,11,22,0,0,0,0,0,0,1.1,3.2
178,Trent Sherfield,ARI,WR,8,3,2,66.7,12,0,6,4,6,0,0,0,0,0,0,0.4,3.2
180,Malik Turner,SEA,WR,3,2,1,50,19,0,19,9.5,19,0,0,0,0,0,0,1,2.9
181,Jeremy Kerley,BUF,WR,1,4,2,50,7,0,4,1.8,3.5,0,0,0,0,0,0,2.7,2.7
182,Tim White,BAL,WR,3,1,1,100,14,0,14,14,14,0,0,0,0,1,0,0.8,2.4
183,Sammie Coates,HOU,WR,9,2,1,50,12,0,12,6,12,0,0,0,0,0,0,0.2,2.2
183,Josh Malone,CIN,WR,7,4,1,25,12,0,12,3,12,0,0,0,0,0,0,0.3,2.2
185,Justin Hardee,NO,WR,11,1,1,100,10,0,10,10,10,0,0,0,0,0,0,0.2,2
