Rank,Name,Team,Position,Week,Opponent,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
399,Javorius Allen,BAL,RB,7,NO,3,3,1,0,3,3,21,0,0,0,5.4,5.4
399,Rashaad Penny,SEA,RB,9,LAC,4,11,2.8,0,3,3,13,0,0,0,5.4,5.4
402,Dion Lewis,TEN,RB,2,HOU,14,42,3,0,1,1,1,0,0,0,5.3,5.3
402,Duke Johnson,CLE,RB,3,NYJ,2,9,4.5,0,2,2,24,0,1,0,5.3,5.3
404,Duke Johnson,CLE,RB,5,BAL,5,35,7,0,1,1,7,0,0,0,5.2,5.2
404,Nyheim Hines,IND,RB,7,BUF,5,47,9.4,0,2,1,-5,0,0,0,5.2,5.2
404,CJ Prosise,SEA,RB,2,CHI,0,0,0,0,3,3,22,0,0,0,5.2,5.2
404,Trenton Cannon,NYJ,RB,8,CHI,6,10,1.7,0,4,3,12,0,0,0,5.2,5.2
408,Sony Michel,NE,RB,2,JAX,10,34,3.4,0,2,1,7,0,0,0,5.1,5.1
408,Derrick Henry,TEN,RB,4,PHI,8,24,3,0,2,2,7,0,0,0,5.1,5.1
408,Chase Edmonds,ARI,RB,7,DEN,5,9,1.8,0,3,3,12,0,0,0,5.1,5.1
411,Spencer Ware,KC,RB,1,LAC,3,32,10.7,0,1,1,8,0,0,0,5,5
411,Ty Montgomery,GB,RB,2,MIN,5,31,6.2,0,2,1,9,0,0,0,5,5
411,Tevin Coleman,ATL,RB,5,PIT,7,15,2.1,0,2,2,15,0,0,0,5,5
411,Spencer Ware,KC,RB,3,SF,1,1,1,0,3,2,29,0,0,0,5,5
411,Kyle Juszczyk,SF,FB,6,GB,0,0,0,0,3,3,30,0,1,1,5,5
416,Kareem Hunt,KC,RB,1,LAC,16,49,3.1,0,1,0,0,0,0,0,4.9,4.9
416,Lamar Miller,HOU,RB,4,IND,14,49,3.5,0,0,0,0,0,0,0,4.9,4.9
416,Rashaad Penny,SEA,RB,4,ARI,9,49,5.4,0,0,0,0,0,0,0,4.9,4.9
416,Jamaal Williams,GB,RB,6,SF,6,29,4.8,0,3,1,10,0,0,0,4.9,4.9
416,Devontae Booker,DEN,RB,6,LAR,2,15,7.5,0,3,2,14,0,0,0,4.9,4.9
416,Ronald Jones II,TB,RB,6,ATL,1,3,3,0,3,3,16,0,0,0,4.9,4.9
416,Javorius Allen,BAL,RB,6,TEN,1,1,1,0,3,3,18,0,0,0,4.9,4.9
423,Ty Montgomery,GB,RB,5,DET,4,15,3.8,0,3,1,23,0,0,0,4.8,4.8
423,Isaiah Crowell,NYJ,RB,8,CHI,13,25,1.9,0,1,1,13,0,0,0,4.8,4.8
423,Ty Montgomery,GB,RB,1,CHI,2,7,3.5,0,3,2,21,0,0,0,4.8,4.8
423,Samaje Perine,WAS,RB,9,ATL,2,20,10,0,3,2,8,0,0,0,4.8,4.8
427,Jamaal Williams,GB,RB,1,CHI,15,47,3.1,0,2,0,0,0,0,0,4.7,4.7
428,Marlon Mack,IND,RB,2,WAS,10,34,3.4,0,2,1,2,0,0,0,4.6,4.6
428,Rex Burkhead,NE,RB,3,DET,0,0,0,0,3,2,26,0,0,0,4.6,4.6
430,Leonard Fournette,JAX,RB,4,NYJ,11,30,2.7,0,1,1,5,0,0,0,4.5,4.5
430,LeGarrette Blount,DET,RB,2,SF,8,38,4.8,0,1,1,-3,0,0,0,4.5,4.5
430,Mike Davis,SEA,RB,8,DET,10,33,3.3,0,1,1,2,0,0,0,4.5,4.5
