Week,Team,Home,PointSpread,OverUnder
15,DAL,TRUE,3,41
15,HOU,FALSE,1.5,42
15,ATL,FALSE,2,48
15,CHI,FALSE,4,44
15,TEN,FALSE,14.5,48
15,NYG,TRUE,4.5,46.5
15,BAL,TRUE,6.5,41
15,WAS,TRUE,2,45.5
15,CLE,FALSE,14.5,45.5
15,OAK,TRUE,4,47
15,DEN,FALSE,7,45.5
15,SF,TRUE,7,40.5
15,MIA,FALSE,1,46.5
15,PHI,TRUE,3.5,51
15,DET,FALSE,2.5,52
16,OAK,TRUE,-4,45
16,PHI,TRUE,-3,48.5
16,TB,TRUE,-3,44
16,HOU,FALSE,-3.5,39
16,NE,FALSE,-2.5,46
16,CAR,FALSE,-7,46
16,PIT,FALSE,-11,47.5
16,BUF,TRUE,-6.5,42
16,DET,TRUE,-9,43
16,KC,TRUE,-11.5,42.5
16,MIA,TRUE,-2.5,44
16,NO,TRUE,-2.5,53.5
16,ARI,TRUE,-6,50
16,SEA,TRUE,-11.5,41.5
16,MIN,TRUE,-7,45
16,DEN,TRUE,-4.5,39.5
16,LAC,FALSE,4,45
16,WAS,FALSE,3,48.5
16,CHI,FALSE,3,44
16,TEN,TRUE,3.5,39
16,NYJ,TRUE,2.5,46
16,ATL,TRUE,7,46
16,BAL,TRUE,11,47.5
16,DAL,FALSE,6.5,42
16,SF,FALSE,9,43
16,CLE,FALSE,11.5,42.5
16,IND,FALSE,2.5,44
16,JAX,FALSE,2.5,53.5
16,GB,FALSE,6,50
16,LAR,FALSE,11.5,41.5
16,NYG,FALSE,7,45
16,CIN,FALSE,4.5,39.5
