Rank,Name,Team,Position,Week,Opponent,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
68,David Fluellen,TEN,RB,7,LAC,1,2,2,0,0,0,0,0,0,0,0.2,0.2
68,David Williams,JAX,RB,7,HOU,1,2,2,0,0,0,0,0,0,0,0.2,0.2
68,Samaje Perine,WAS,RB,7,DAL,2,2,1,0,0,0,0,0,0,0,0.2,0.2
68,Elijhaa Penny,NYG,RB,7,ATL,1,2,2,0,0,0,0,0,0,0,0.2,0.2
72,LeSean McCoy,BUF,RB,7,IND,2,1,0.5,0,0,0,0,0,0,0,0.1,0.1
73,Derrick Coleman,ARI,FB,7,DEN,0,0,0,0,0,0,0,0,0,0,0,0
73,Andy Janovich,DEN,FB,7,ARI,0,0,0,0,0,0,0,0,0,0,0,0
73,Derek Watt,LAC,FB,7,TEN,0,0,0,0,0,0,0,0,0,0,0,0
73,Detrez Newsome,LAC,RB,7,TEN,0,0,0,0,0,0,0,0,0,0,0,0
73,James Develin,NE,RB,7,CHI,0,0,0,0,1,0,0,0,0,0,0,0
73,Benjamin Cunningham,CHI,RB,7,NE,0,0,0,0,0,0,0,0,0,0,0,0
73,Patrick DiMarco,BUF,FB,7,IND,0,0,0,0,0,0,0,0,0,0,0,0
73,Anthony Sherman,KC,FB,7,CIN,0,0,0,0,0,0,0,0,0,0,0,0
73,Damien Williams,KC,RB,7,CIN,0,0,0,0,0,0,0,0,0,0,0,0
73,Nick Bellore,DET,RB,7,MIA,0,0,0,0,0,0,0,0,0,0,0,0
73,Brandon Bolden,MIA,RB,7,DET,0,0,0,0,0,0,0,0,0,0,0,0
73,Senorise Perry,MIA,RB,7,DET,0,0,0,0,0,0,0,0,0,0,0,0
73,Kalen Ballage,MIA,RB,7,DET,0,0,0,0,0,0,0,0,0,0,0,0
73,CJ Ham,MIN,RB,7,NYJ,0,0,0,0,0,0,0,0,0,0,0,0
73,CJ Anderson,CAR,RB,7,PHI,0,0,0,0,0,0,0,0,0,0,0,0
73,Alex Armah,CAR,RB,7,PHI,0,0,0,0,0,0,0,0,0,0,0,0
73,Dontrell Hilliard,CLE,RB,7,TB,0,0,0,0,0,0,0,0,0,0,0,0
73,Gregory Howell Jr.,HOU,RB,7,JAX,0,0,0,0,0,0,0,0,0,0,0,0
73,Zach Line,NO,FB,7,BAL,0,0,0,0,0,0,0,0,0,0,0,0
73,Patrick Ricard,BAL,FB,7,NO,0,0,0,0,0,0,0,0,0,0,0,0
73,Gus Edwards,BAL,RB,7,NO,2,0,0,0,0,0,0,0,0,0,0,0
73,Jamize Olawale,DAL,FB,7,WAS,0,0,0,0,0,0,0,0,0,0,0,0
73,Rod Smith,DAL,RB,7,WAS,0,0,0,0,0,0,0,0,0,0,0,0
73,Wayne Gallman,NYG,RB,7,ATL,0,0,0,0,0,0,0,0,0,0,0,0
