Rank,Name,Team,Position,Week,Opponent,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
114,Justin Hardy,ATL,WR,13,BAL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,John Brown,BAL,WR,13,ATL,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,Tim Patrick,DEN,WR,13,CIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,River Cracraft,DEN,WR,13,CIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,Daesean Hamilton,DEN,WR,13,CIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,Khadarel Hodge,LAR,WR,13,DET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,Jojo Natson,LAR,WR,13,DET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,Andy Jones,DET,WR,13,LAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,Pharoh Cooper,LAR,WR,13,DET,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,JJ Nelson,ARI,WR,13,GB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,J'mon Moore,GB,WR,13,ARI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,Equanimeous St. Brown,GB,WR,13,ARI,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,Isaiah Ford,MIA,WR,13,BUF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,Leonte Carroo,MIA,WR,13,BUF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,Andre Holmes,BUF,WR,13,MIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
