Rank,Name,Team,Position,Played,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
139,River Cracraft,DEN,WR,4,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
139,Noah Brown,DAL,WR,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,Lance Lenoir,DAL,WR,4,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
139,Corey Coleman,NYG,WR,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,Trevor Davis,GB,WR,2,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
139,Saeed Blacknall,OAK,WR,1,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
139,Johnny Holton,OAK,WR,1,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
139,Jake Kumerow,GB,WR,1,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
139,Isaiah Ford,MIA,WR,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,Jesus Wilson,TB,WR,1,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
139,Gehrig Dieter,KC,WR,1,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
