Rank,Name,Team,Position,Week,Opponent,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
493,Demetrius Harris,KC,TE,14,LAC,2,2,100,18,0,12,9,9,0,0,0,0,0,0,3.8,3.8
493,Vance McDonald,SF,TE,13,CHI,3,2,66.7,18,0,12,6,9,0,0,0,0,0,0,3.8,3.8
498,Marcedes Lewis,JAX,TE,9,NYJ,1,1,100,27,0,27,27,27,0,0,0,0,0,0,3.7,3.7
498,Clay Harbor,JAX,TE,16,NO,1,1,100,7,0,7,7,7,0,0,0,0,0,0,3.7,3.7
498,Maxx Williams,BAL,TE,4,PIT,4,2,50,17,0,10,4.2,8.5,0,0,0,0,0,0,3.7,3.7
498,Heath Miller,PIT,TE,3,LAR,3,2,66.7,17,0,9,5.7,8.5,0,0,0,0,0,0,3.7,3.7
498,Clay Harbor,JAX,TE,11,TEN,2,2,100,17,0,10,8.5,8.5,0,0,0,0,0,0,3.7,3.7
498,Luke Willson,SEA,TE,5,CIN,3,2,66.7,17,0,9,5.7,8.5,0,0,0,0,0,0,3.7,3.7
498,Luke Willson,SEA,TE,15,CLE,2,2,100,17,0,11,8.5,8.5,0,0,0,0,0,0,3.7,3.7
498,Andrew Quarless,GB,TE,16,ARI,2,2,100,17,0,13,8.5,8.5,0,0,0,0,0,0,3.7,3.7
498,Richard Rodgers,GB,TE,11,MIN,5,3,60,7,0,5,1.4,2.3,0,0,0,0,0,0,3.7,3.7
507,Tim Wright,DET,TE,4,SEA,2,1,50,26,0,26,13,26,0,0,0,0,0,0,3.6,3.6
507,Levine Toilolo,ATL,TE,3,DAL,1,1,100,6,0,6,6,6,0,0,0,0,0,0,3.6,3.6
507,Anthony Fasano,TEN,TE,3,IND,2,1,50,26,0,26,13,26,0,0,0,0,0,0,3.6,3.6
507,Virgil Green,DEN,TE,3,DET,1,1,100,26,0,26,26,26,0,0,0,0,0,0,3.6,3.6
507,Marcedes Lewis,JAX,TE,15,ATL,3,1,33.3,26,0,26,8.7,26,0,0,0,0,0,0,3.6,3.6
507,Jason Witten,DAL,TE,8,SEA,4,2,50,16,0,9,4,8,0,0,0,0,0,0,3.6,3.6
507,Richard Rodgers,GB,TE,8,DEN,4,2,50,16,0,11,4,8,0,0,0,0,0,0,3.6,3.6
507,Cameron Brate,TB,TE,14,NO,3,2,66.7,16,0,11,5.3,8,0,0,0,0,0,0,3.6,3.6
507,Lance Kendricks,LAR,TE,5,GB,3,2,66.7,16,0,12,5.3,8,0,0,0,0,0,0,3.6,3.6
507,Mychal Rivera,OAK,TE,9,PIT,3,2,66.7,16,0,8,5.3,8,0,0,0,0,0,0,3.6,3.6
507,Maxx Williams,BAL,TE,16,PIT,5,2,40,16,0,9,3.2,8,0,0,0,0,0,0,3.6,3.6
518,Coby Fleener,IND,TE,1,BUF,1,1,100,5,0,5,5,5,0,0,0,0,0,0,3.5,3.5
518,MyCole Pruitt,MIN,TE,8,CHI,3,2,66.7,15,0,9,5,7.5,0,0,0,0,0,0,3.5,3.5
518,CJ Fiedorowicz,HOU,TE,8,TEN,2,2,100,15,0,14,7.5,7.5,0,0,0,0,0,0,3.5,3.5
518,Luke Willson,SEA,TE,4,DET,3,2,66.7,15,0,9,5,7.5,0,0,0,0,0,0,3.5,3.5
518,Demetrius Harris,KC,TE,6,MIN,2,2,100,15,0,9,7.5,7.5,0,0,0,0,0,0,3.5,3.5
518,Richard Rodgers,GB,TE,3,KC,4,2,50,15,0,8,3.8,7.5,0,0,0,0,0,0,3.5,3.5
518,Derek Carrier,WAS,TE,7,TB,2,2,100,15,0,9,7.5,7.5,0,0,0,0,0,0,3.5,3.5
518,Luke Willson,SEA,TE,11,SF,2,2,100,15,0,10,7.5,7.5,0,0,0,0,0,0,3.5,3.5
526,Marcedes Lewis,JAX,TE,12,LAC,2,1,50,24,0,24,12,24,0,0,0,0,0,0,3.4,3.4
526,Lee Smith,OAK,TE,4,CHI,2,2,100,14,0,9,7,7,0,0,0,0,0,0,3.4,3.4
526,Kyle Rudolph,MIN,TE,3,LAC,5,2,40,14,0,10,2.8,7,0,0,0,0,0,0,3.4,3.4
526,Andrew Quarless,GB,TE,3,KC,2,2,100,14,0,7,7,7,0,0,0,0,0,0,3.4,3.4
526,Anthony Fasano,TEN,TE,11,JAX,2,2,100,14,0,8,7,7,0,0,0,0,0,0,3.4,3.4
526,Zach Miller,CHI,TE,2,ARI,2,2,100,14,0,9,7,7,0,0,0,0,0,0,3.4,3.4
526,Owen Daniels,DEN,TE,15,PIT,5,2,40,14,0,7,2.8,7,0,0,0,0,0,0,3.4,3.4
526,Dion Sims,MIA,TE,14,NYG,5,3,60,14,0,8,2.8,4.7,0,0,0,0,1,1,3.4,3.4
534,Rhett Ellison,MIN,TE,12,ATL,2,1,50,23,0,23,11.5,23,0,0,0,0,0,0,3.3,3.3
534,Clive Walford,OAK,TE,8,NYJ,3,2,66.7,13,0,11,4.3,6.5,0,0,0,0,0,0,3.3,3.3
534,Marcedes Lewis,JAX,TE,7,BUF,2,2,100,13,0,9,6.5,6.5,0,0,0,0,0,0,3.3,3.3
534,Owen Daniels,DEN,TE,13,LAC,3,2,66.7,13,0,7,4.3,6.5,0,0,0,0,0,0,3.3,3.3
534,Mychal Rivera,OAK,TE,13,KC,3,2,66.7,13,0,7,4.3,6.5,0,0,0,0,0,0,3.3,3.3
534,Jordan Cameron,MIA,TE,12,NYJ,3,2,66.7,13,0,7,4.3,6.5,0,0,0,0,0,0,3.3,3.3
534,Ladarius Green,LAC,TE,15,MIA,3,2,66.7,13,0,7,4.3,6.5,0,0,0,0,0,0,3.3,3.3
534,Coby Fleener,IND,TE,16,MIA,4,2,50,13,0,10,3.2,6.5,0,0,0,0,0,0,3.3,3.3
542,Larry Donnell,NYG,TE,8,NO,1,1,100,22,0,22,22,22,0,0,0,0,0,0,3.2,3.2
542,Ryan Hewitt,CIN,TE,8,PIT,1,1,100,22,0,22,22,22,0,0,0,0,0,0,3.2,3.2
542,Darren Fells,ARI,TE,13,LAR,1,1,100,22,0,22,22,22,0,0,0,0,0,0,3.2,3.2
542,Virgil Green,DEN,TE,13,LAC,1,1,100,22,0,22,22,22,0,0,0,0,0,0,3.2,3.2
542,Gavin Escobar,DAL,TE,10,TB,1,1,100,22,0,22,22,22,0,0,0,0,0,0,3.2,3.2
542,Clive Walford,OAK,TE,16,LAC,3,1,33.3,22,0,22,7.3,22,0,0,0,0,0,0,3.2,3.2
542,Mychal Rivera,OAK,TE,4,CHI,3,2,66.7,12,0,8,4,6,0,0,0,0,0,0,3.2,3.2
542,Lance Kendricks,LAR,TE,3,PIT,5,2,40,12,0,7,2.4,6,0,0,0,0,0,0,3.2,3.2
542,Zach Ertz,PHI,TE,11,TB,4,2,50,12,0,7,3,6,0,0,0,0,0,0,3.2,3.2
542,Benjamin Watson,NO,TE,2,TB,4,2,50,12,0,8,3,6,0,0,0,0,0,0,3.2,3.2
542,Cameron Brate,TB,TE,13,ATL,2,2,100,12,0,7,6,6,0,0,0,0,0,0,3.2,3.2
542,Julius Thomas,JAX,TE,16,NO,2,2,100,12,0,8,6,6,0,0,0,0,0,0,3.2,3.2
542,Josh Hill,NO,TE,16,JAX,3,2,66.7,12,0,6,4,6,0,0,0,0,0,0,3.2,3.2
555,Justin Perillo,GB,TE,6,LAC,2,1,50,21,0,21,10.5,21,0,0,0,0,0,0,3.1,3.1
555,Zach Miller,CHI,TE,3,SEA,1,1,100,21,0,21,21,21,0,0,0,0,0,0,3.1,3.1
555,Mychal Rivera,OAK,TE,11,DET,2,1,50,21,0,21,10.5,21,0,0,0,0,0,0,3.1,3.1
555,Dwayne Allen,IND,TE,5,HOU,1,1,100,21,0,21,21,21,0,0,0,0,0,0,3.1,3.1
555,Brandon Pettigrew,DET,TE,12,PHI,2,1,50,21,0,21,10.5,21,0,0,0,0,0,0,3.1,3.1
555,John Phillips,LAC,TE,8,BAL,2,2,100,11,0,7,5.5,5.5,0,0,0,0,0,0,3.1,3.1
555,Zach Ertz,PHI,TE,4,WAS,3,2,66.7,11,0,7,3.7,5.5,0,0,0,0,0,0,3.1,3.1
555,Mychal Rivera,OAK,TE,7,LAC,3,2,66.7,11,0,7,3.7,5.5,0,0,0,0,0,0,3.1,3.1
555,Brent Celek,PHI,TE,7,CAR,3,2,66.7,11,0,6,3.7,5.5,0,0,0,0,0,0,3.1,3.1
555,Rhett Ellison,MIN,TE,9,LAR,3,2,66.7,11,0,6,3.7,5.5,0,0,0,0,0,0,3.1,3.1
555,Josh Hill,NO,TE,13,CAR,3,2,66.7,11,0,7,3.7,5.5,0,0,0,0,0,0,3.1,3.1
555,Antonio Gates,LAC,TE,16,OAK,2,2,100,11,0,8,5.5,5.5,0,0,0,0,0,0,3.1,3.1
567,Ryan Griffin,HOU,TE,14,NE,6,1,16.7,20,0,20,3.3,20,0,0,0,0,0,0,3,3
567,Jeff Cumberland,NYJ,TE,3,PHI,4,2,50,10,0,5,2.5,5,0,0,0,0,0,0,3,3
567,Jim Dray,CLE,TE,7,LAR,2,2,100,10,0,5,5,5,0,0,0,0,0,0,3,3
567,Garrett Celek,SF,TE,2,PIT,2,2,100,10,0,7,5,5,0,0,0,0,0,0,3,3
567,Jerome Cunningham,NYG,TE,9,TB,2,2,100,10,0,6,5,5,0,0,0,0,0,0,3,3
567,Vernon Davis,DEN,TE,12,NE,2,2,100,10,0,6,5,5,0,0,0,0,0,0,3,3
567,Clive Walford,OAK,TE,15,GB,7,2,28.6,10,0,6,1.4,5,0,0,0,0,0,0,3,3
574,CJ Fiedorowicz,HOU,TE,2,CAR,1,1,100,19,0,19,19,19,0,0,0,0,0,0,2.9,2.9
574,Michael Hoomanawanui,NO,TE,13,CAR,1,1,100,19,0,19,19,19,0,0,0,0,0,0,2.9,2.9
