Rank,Name,Team,Position,Week,Opponent,UpcomingOpponentRank,UpcomingOpponentPositionRank,DraftKingsSalary,FantasyPointsDraftKings
45,Tyrell Williams,LAC,WR,12,ARI,13,9,4700,9.95
46,Chris Godwin,TB,WR,12,SF,22,20,4100,9.88
47,Willie Snead,BAL,WR,12,OAK,28,22,4400,9.7
48,Demaryius Thomas,HOU,WR,12,TEN,5,26,4500,9.66
49,John Brown,BAL,WR,12,OAK,28,22,5400,9.51
50,Quincy Enunwa,NYJ,WR,12,NE,23,12,3700,9.47
51,Donte Moncrief,JAX,WR,12,BUF,3,1,4400,9.4
52,Taylor Gabriel,CHI,WR,12,DET,25,25,null,9.39
53,Dede Westbrook,JAX,WR,12,BUF,3,1,4300,9.22
54,Anthony Miller,CHI,WR,12,DET,25,25,null,8.96
54,Randall Cobb,GB,WR,12,MIN,6,3,4600,8.96
56,Cole Beasley,DAL,WR,12,WAS,10,18,4200,8.92
57,Pierre Garcon,SF,WR,12,TB,31,30,4300,8.69
58,Devante Parker,MIA,WR,12,IND,14,7,4200,8.61
59,Mike Williams,LAC,WR,12,ARI,13,9,3500,7.92
60,Maurice Harris,WAS,WR,12,DAL,4,4,4000,7.87
61,Nelson Agholor,PHI,WR,12,NYG,19,13,4100,7.86
62,Antonio Callaway,CLE,WR,12,CIN,32,24,3800,7.84
63,Seth Roberts,OAK,WR,12,BAL,1,6,3200,7.62
64,Dontrelle Inman,IND,WR,12,MIA,21,10,3900,7.55
65,Zay Jones,BUF,WR,12,JAX,7,2,3400,7.46
66,David Moore,SEA,WR,12,CAR,20,16,3700,7.2
67,Josh Doctson,WAS,WR,12,DAL,4,4,4100,7.15
68,Curtis Samuel,CAR,WR,12,SEA,11,20,3800,6.96
69,Tajae Sharpe,TEN,WR,12,HOU,8,5,3500,6.95
69,Jermaine Kearse,NYJ,WR,12,NE,23,12,3500,6.95
71,Michael Gallup,DAL,WR,12,WAS,10,18,3500,6.86
71,Jordy Nelson,OAK,WR,12,BAL,1,6,3600,6.86
73,John Ross,CIN,WR,12,CLE,27,19,4100,6.83
74,Kelvin Benjamin,BUF,WR,12,JAX,7,2,3100,6.78
75,Robby Anderson,NYJ,WR,12,NE,23,12,3600,6.68
