Rank,Name,Team,Position,Played,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
61,Tyler Conklin,MIN,TE,8,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
61,Marcedes Lewis,GB,TE,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,Dion Sims,CHI,TE,7,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
61,Ben Braunecker,CHI,TE,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,Lee Smith,OAK,TE,7,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
61,Luke Willson,DET,TE,7,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
61,Levine Toilolo,DET,TE,7,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
61,Derek Carrier,OAK,TE,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,Eric Tomlinson,NYJ,TE,8,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
61,Hakeem Valles,DET,TE,3,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
61,Johnny Mundt,LAR,TE,7,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
61,MyCole Pruitt,TEN,TE,6,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
61,Anthony Firkser,TEN,TE,2,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
61,Ryan Hewitt,IND,TE,7,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
61,Jacob Hollister,NE,TE,3,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
61,Rico Gathers,DAL,TE,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,Khari Lee,BUF,TE,2,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
61,Hayden Hurst,BAL,TE,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,Brian Parker,DEN,TE,4,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
61,David Grinnage,JAX,TE,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,Tyrone Swoopes,SEA,TE,1,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
61,Blake Bell,JAX,TE,2,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
61,Matt Lengel,CIN,TE,2,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
61,Ross Dwelley,SF,TE,2,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
61,Nick Deluca,JAX,TE,1,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
61,Deon Yelder,KC,TE,1,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
61,Jordan Franks,CIN,TE,1,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
