Rank,Name,Team,Position,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
94,Jordan Matthews,PHI,WR,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
94,Cody Latimer,NYG,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,Shelton Gibson,PHI,WR,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
94,Deandre Carter,PHI,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,Freddie Martino,TB,WR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,Justin Watson,TB,WR,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
94,Russell Gage,ATL,WR,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
94,Justin Hunter,PIT,WR,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
94,Cody Core,CIN,WR,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
94,Josh Malone,CIN,WR,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
94,Geremy Davis,LAC,WR,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
94,Danny Amendola,MIA,WR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,Kevin White,CHI,WR,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
94,Devante Parker,MIA,WR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,Daniel Brown,CHI,WR,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
94,JJ Nelson,ARI,WR,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
94,Brandon Zylstra,MIN,WR,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
94,Andre Roberts,NYJ,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,Robby Anderson,NYJ,WR,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
94,Marcus Johnson,IND,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,Brian Quick,WAS,WR,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
94,Sammie Coates,HOU,WR,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
94,Ray-Ray McCloud,BUF,WR,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
94,Robert Foster,BUF,WR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,Jojo Natson,LAR,WR,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
94,Tim Patrick,DEN,WR,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
94,Daesean Hamilton,DEN,WR,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
94,Khadarel Hodge,LAR,WR,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
94,Deonte Thompson,DAL,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,Jaydon Mickens,JAX,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,D.J. Chark,JAX,WR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,Darius Jennings,TEN,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,Chris Moore,BAL,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,Cameron Batson,TEN,WR,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
94,Matthew Slater,NE,WR,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
94,Marcus Kemp,KC,WR,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
94,Robert Tonyan Jr.,GB,WR,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
94,J'mon Moore,GB,WR,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
94,Richie James,SF,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,Equanimeous St. Brown,GB,WR,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
94,Darrius Heyward-Bey,PIT,WR,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
94,Derrick Willies,CLE,WR,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
94,Rishard Matthews,NYJ,WR,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
94,Dante Pettis,SF,WR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,Vyncint Smith,HOU,WR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,Austin Carr,NO,WR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,Justin Hardee,NO,WR,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
94,Russell Shepard,NYG,WR,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
94,Travis Benjamin,LAC,WR,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
94,Trent Sherfield,ARI,WR,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
94,Damiere Byrd,CAR,WR,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
94,TJ Jones,DET,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,Charone Peake,NYJ,WR,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
94,Nick Williams,LAR,WR,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
94,Dan Arnold,NO,WR,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
94,Breshad Perriman,CLE,WR,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
