Rank,Name,Team,Position,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
84,CJ Prosise,SEA,RB,0,0,0,0,0,0,0,0,0,0,0,0
84,Tre Madden,SEA,RB,0,0,0,0,0,0,0,0,0,0,0,0
84,Kalen Ballage,MIA,RB,0,0,0,0,0,0,0,0,0,0,0,0
84,Elijhaa Penny,NYG,RB,0,0,0,0,0,0,0,0,0,0,0,0
84,Mike Boone,MIN,RB,0,0,0,0,0,0,0,0,0,0,0,0
84,Dontrell Hilliard,CLE,RB,0,0,0,0,0,0,0,0,0,0,0,0
84,Gus Edwards,BAL,RB,0,0,0,0,0,0,0,0,0,0,0,0
84,Michael Burton,CHI,FB,0,0,0,0,0,0,0,0,0,0,0,0
122,Chris Ivory,BUF,RB,4,-2,-0.5,0,0,0,0,0,0,0,-0.2,-0.2
122,Roc Thomas,MIN,RB,1,-2,-2,0,1,0,0,0,0,0,-0.2,-0.2
