Rank,Name,Team,Position,Played,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
100,Devonta Freeman,ATL,RB,2,3,4,1.3,0,1,0,0,0,0,0,0.2,0.4
100,Bilal Powell,NYJ,RB,7,10,4,0.4,0,1,0,0,0,0,0,0.1,0.4
100,Brandon Wilds,JAX,RB,3,1,4,4,0,0,0,0,0,0,0,0.1,0.4
100,Mark Walton,CIN,RB,9,1,4,4,0,0,0,0,0,0,0,0,0.4
104,Detrez Newsome,LAC,RB,5,2,3,1.5,0,0,0,0,0,0,0,0.1,0.3
104,Robert Turbin,IND,RB,2,1,3,3,0,0,0,0,0,0,0,0.2,0.3
106,Stevan Ridley,PIT,RB,7,1,2,2,0,0,0,0,0,0,0,0,0.2
106,Roc Thomas,MIN,RB,5,2,2,1,0,2,0,0,0,0,0,0,0.2
108,Byron Marshall,WAS,RB,2,1,1,1,0,0,0,0,0,0,0,0,0.1
109,Ricky Ortiz,ATL,RB,9,0,0,0,0,0,0,0,0,0,0,0,0
109,Jonathan Stewart,NYG,RB,3,0,0,0,0,0,0,0,0,0,0,0,0
109,Taiwan Jones,BUF,RB,6,0,0,0,0,0,0,0,0,0,0,0,0
109,Brandon Bolden,MIA,RB,11,0,0,0,0,0,0,0,0,0,0,0,0
109,Patrick DiMarco,BUF,FB,11,0,0,0,0,0,0,0,0,0,0,0,0
109,Tommy Bohanon,JAX,FB,11,1,0,0,0,0,0,0,0,0,0,0,0
109,Rex Burkhead,NE,RB,3,0,0,0,0,3,0,0,0,0,0,0,0
109,Christine Michael,IND,RB,1,0,0,0,0,0,0,0,0,0,0,0,0
109,Derrick Coleman,ARI,FB,11,0,0,0,0,1,0,0,0,0,0,0,0
109,David Fluellen,TEN,RB,7,0,0,0,0,0,0,0,0,0,0,0,0
109,Jeremy Hill,NE,RB,1,0,0,0,0,0,0,0,0,0,0,0,0
109,Senorise Perry,MIA,RB,11,0,0,0,0,0,0,0,0,0,0,0,0
109,Roosevelt Nix,PIT,RB,11,0,0,0,0,0,0,0,0,0,0,0,0
109,Raheem Mostert,SF,RB,9,1,0,0,0,0,0,0,0,0,0,0,0
109,CJ Prosise,SEA,RB,5,0,0,0,0,0,0,0,0,0,0,0,0
109,Tyler Ervin,HOU,RB,9,0,0,0,0,1,0,0,0,0,0,0,0
109,Andy Janovich,DEN,FB,11,0,0,0,0,0,0,0,0,0,0,0,0
109,Derek Watt,LAC,FB,11,1,0,0,0,0,0,0,0,0,0,0,0
109,Tre Madden,SEA,RB,11,0,0,0,0,0,0,0,0,0,0,0,0
109,Alan Cross,TB,FB,11,0,0,0,0,1,0,0,0,0,0,0,0
109,Rob Kelley,WAS,RB,2,0,0,0,0,0,0,0,0,0,0,0,0
109,Tra Carson,GB,RB,6,0,0,0,0,0,0,0,0,0,0,0,0
109,CJ Ham,MIN,RB,11,1,0,0,0,0,0,0,0,0,0,0,0
109,Patrick Ricard,BAL,FB,10,0,0,0,0,0,0,0,0,0,0,0,0
109,Shane Smith,NYG,FB,2,0,0,0,0,0,0,0,0,0,0,0,0
109,Gregory Howell Jr.,HOU,RB,10,0,0,0,0,0,0,0,0,0,0,0,0
109,Benjamin Cunningham,CHI,RB,11,0,0,0,0,0,0,0,0,0,0,0,0
109,Michael Burton,CHI,FB,5,0,0,0,0,0,0,0,0,0,0,0,0
109,Darius Jackson,GB,RB,2,0,0,0,0,0,0,0,0,0,0,0,0
109,Justin Davis,LAR,RB,8,0,0,0,0,0,0,0,0,0,0,0,0
109,Trenton Cannon,NYJ,RB,11,0,0,0,0,0,0,0,0,0,0,0,0
109,De'Lance Turner,BAL,RB,4,0,0,0,0,0,0,0,0,0,0,0,0
109,Cameron Artis-Payne,CAR,RB,4,0,0,0,0,0,0,0,0,0,0,0,0
109,Brian Hill,ATL,RB,5,0,0,0,0,0,0,0,0,0,0,0,0
109,TJ Logan,ARI,RB,5,0,0,0,0,0,0,0,0,0,0,0,0
109,Mike Boone,MIN,RB,7,0,0,0,0,0,0,0,0,0,0,0,0
109,Dwayne Washington,NO,RB,5,0,0,0,0,0,0,0,0,0,0,0,0
109,Thomas Rawls,CIN,RB,1,0,0,0,0,0,0,0,0,0,0,0,0
109,Jamaal Charles,JAX,RB,2,0,0,0,0,0,0,0,0,0,0,0,0
109,Dontrell Hilliard,CLE,RB,6,0,0,0,0,0,0,0,0,0,0,0,0
109,David Williams,JAX,RB,1,0,0,0,0,0,0,0,0,0,0,0,0
109,Elijah McGuire,NYJ,RB,3,0,0,0,0,0,0,0,0,0,0,0,0
109,Zach Zenner,DET,RB,3,0,0,0,0,0,0,0,0,0,0,0,0
109,Dare Ogunbowale,TB,RB,2,0,0,0,0,0,0,0,0,0,0,0,0
109,Matt Dayes,SF,RB,1,0,0,0,0,0,0,0,0,0,0,0,0
154,Jonathan Williams,IND,RB,3,1,-1,-1,0,0,0,0,0,0,0,0,-0.1
155,Dalvin Cook,MIN,RB,6,9,3,0.3,0,0,0,0,0,1,1,-0.1,-0.7
