Name,DraftKingsSalary,DPointsAllowed,Home,PointSpread,OverUnder,total,Rank,Team,TargetsGame,RecGame,RecPercentage,RecYardsGame,RecTdGame,YardsTarget,RecYardsRec,RushesGame,RushYardsGame,YardAttempt,RushTdGame,PointsGame,RZTargetsGame,RZRecGame,RZRecPercentage,RZRecYardsGame,RZRecTdGame,RZYardsTarget,RZRecYardsRec,RZRushesGame,RZRushYardsGame,RZYardAttempt,RZRushTdGame,RZPointsGame,Projections,Score
Jarius Wright,3400.0,32.21,True,2.0,44.0,21.0,82.0,CAR,3.8333333333333335,2.5,65.2,26.166666666666668,0.16666666666666666,6.8,10.5,0.16666666666666666,5.666666666666667,34.0,0.0,7.0,0.3333333333333333,0.16666666666666666,50.0,0.8333333333333334,0.16666666666666666,2.5,5.0,0.0,0.0,0.0,0.0,1.6,10.896470989400722,2.5
Curtis Samuel,3600.0,32.21,True,2.0,44.0,21.0,114.0,CAR,1.6666666666666667,1.0,60.0,17.666666666666668,0.3333333333333333,10.6,17.7,0.6666666666666666,3.0,4.5,1.0,7.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,4.666666666666667,14.0,0.3333333333333333,2.5,7.687646166820137,5.8
Damiere Byrd,3000.0,32.21,True,2.0,44.0,21.0,170.0,CAR,0.3333333333333333,0.3333333333333333,100.0,2.6666666666666665,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.216894636505744,0.0
Taylor Gabriel,5100.0,47.54,True,-7.5,44.5,26.0,33.0,CHI,6.333333333333333,5.0,78.9,54.833333333333336,0.3333333333333333,8.7,11.0,1.0,6.0,6.0,0.0,14.1,0.8333333333333334,0.6666666666666666,80.0,1.1666666666666667,0.3333333333333333,1.4,1.8,0.16666666666666666,0.0,0.0,0.0,2.8,14.112434238359329,9.2
Anthony Miller,3400.0,47.54,True,-7.5,44.5,26.0,91.0,CHI,4.4,2.2,50.0,24.8,0.4,5.6,11.3,0.0,0.0,0.0,0.0,7.1,0.8,0.2,25.0,2.0,0.2,2.5,10.0,0.0,0.0,0.0,0.0,1.6,11.172192703535053,13.4
Kevin White,3000.0,47.54,True,-7.5,44.5,26.0,137.0,CHI,0.3333333333333333,0.3333333333333333,100.0,10.666666666666666,0.0,32.0,32.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.605681706754709,1.6
Josh Bellamy,3000.0,47.54,True,-7.5,44.5,26.0,127.0,CHI,1.0,0.5,50.0,4.666666666666667,0.16666666666666666,4.7,9.3,0.0,0.0,0.0,0.0,2.0,0.16666666666666666,0.16666666666666666,100.0,3.3333333333333335,0.16666666666666666,20.0,20.0,0.0,0.0,0.0,0.0,1.5,3.3574998624225083,7.7
Javon Wims,3000.0,47.54,True,-7.5,44.5,26.0,177.0,CHI,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.634494485576706,0.0
Daniel Brown,2500.0,47.54,True,-7.5,44.5,26.0,177.0,CHI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.310341267644288,0.0
AJ Green,8000.0,49.47,True,-4.0,54.5,29.25,10.0,CIN,9.857142857142858,5.714285714285714,58.0,87.28571428571429,0.7142857142857143,8.9,15.3,0.0,0.0,0.0,0.0,19.4,2.0,0.7142857142857143,35.7,4.571428571428571,0.42857142857142855,2.3,6.4,0.0,0.0,0.0,0.0,3.7,20.369859631672988,18.6
Tyler Boyd,6700.0,49.47,True,-4.0,54.5,29.25,15.0,CIN,8.0,5.714285714285714,71.4,68.85714285714286,0.5714285714285714,8.6,12.0,0.14285714285714285,0.7142857142857143,5.0,0.0,17.0,1.0,1.0,100.0,8.142857142857142,0.42857142857142855,8.1,8.1,0.0,0.0,0.0,0.0,4.4,15.747609174446222,31.6
Alex Erickson,3000.0,49.47,True,-4.0,54.5,29.25,128.0,CIN,1.4285714285714286,1.0,70.0,5.571428571428571,0.0,3.9,5.6,0.14285714285714285,1.1428571428571428,8.0,0.0,1.7,0.42857142857142855,0.14285714285714285,33.3,0.8571428571428571,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.2,7.5875472824486705,1.5
Cody Core,3000.0,49.47,True,-4.0,54.5,29.25,142.0,CIN,1.2,0.6,50.0,6.0,0.0,5.0,10.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.592860750048603,0.0
Josh Malone,3000.0,49.47,True,-4.0,54.5,29.25,162.0,CIN,0.6666666666666666,0.16666666666666666,25.0,2.0,0.0,3.0,12.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0939836336068245,0.0
Jarvis Landry,7200.0,47.12,False,8.0,51.0,21.5,19.0,CLE,11.714285714285714,5.857142857142857,50.0,69.85714285714286,0.2857142857142857,6.0,11.9,0.0,0.0,0.0,0.0,15.7,1.8571428571428572,0.7142857142857143,38.5,5.571428571428571,0.2857142857142857,3.0,7.8,0.0,0.0,0.0,0.0,3.3,18.63605562585879,11.9
Antonio Callaway,3800.0,47.12,False,8.0,51.0,21.5,74.0,CLE,5.428571428571429,2.2857142857142856,42.1,28.571428571428573,0.14285714285714285,5.3,12.5,0.2857142857142857,1.0,3.5,0.0,6.4,0.42857142857142855,0.14285714285714285,33.3,-0.8571428571428571,0.0,-2.0,-6.0,0.0,0.0,0.0,0.0,0.3,11.967239047177895,14.6
