Name,DraftKingsSalary,DPointsAllowed,Home,PointSpread,OverUnder,total,Team,Rank,RushesGame,RushYardGame,YardAttempt,RushTdGame,TargetsGame,RecGame,RecYardsGame,RecTdGame,PointsGame,RZattemptsGame,RZyardsGame,RZYardAtt,RZTDGame,RZTarGame,RZRecGame,RZRecYarGame,RZRecTDGame,RZPointsGame,Projections,Score
Jordan Wilkins,3400.0,28.27,False,-3.0,50.0,26.5,IND,58.0,7.142857142857143,31.571428571428573,4.4,0.0,1.5714285714285714,1.4285714285714286,6.0,0.0,5.0,0.42857142857142855,1.0,2.3,0.0,0.5714285714285714,0.5714285714285714,2.4285714285714284,0.0,0.9,12.188041761844449,1.4
Kareem Hunt,7100.0,29.24,True,-10.0,53.5,31.75,KC,5.0,16.857142857142858,77.42857142857143,4.6,0.7142857142857143,3.0,2.142857142857143,32.285714285714285,0.5714285714285714,21.7,2.5714285714285716,6.571428571428571,2.6,0.7142857142857143,1.0,0.5714285714285714,4.857142857142857,0.42857142857142855,8.6,25.390289209052348,19.6
Spencer Ware,4000.0,29.24,True,-10.0,53.5,31.75,KC,61.0,2.5714285714285716,15.142857142857142,5.9,0.0,1.5714285714285714,1.2857142857142858,12.714285714285714,0.0,4.1,1.0,2.0,2.0,0.0,0.2857142857142857,0.14285714285714285,0.5714285714285714,0.0,0.4,12.459077142817536,0.0
Anthony Sherman,3000.0,29.24,True,-10.0,53.5,31.75,KC,74.0,0.0,0.0,0.0,0.0,0.5714285714285714,0.5714285714285714,9.285714285714286,0.14285714285714285,2.4,0.0,0.0,0.0,0.0,0.2857142857142857,0.2857142857142857,2.0,0.0,0.5,8.107276560860823,2.0
Todd Gurley,9800.0,21.97,True,-9.5,56.5,33.0,LAR,1.0,20.571428571428573,98.0,4.8,1.5714285714285714,5.0,3.5714285714285716,38.57142857142857,0.42857142857142855,30.9,6.142857142857143,17.714285714285715,2.9,1.5714285714285714,1.8571428571428572,1.0,9.285714285714286,0.42857142857142855,16.3,26.406449628037013,36.5
Malcolm Brown,4200.0,21.97,True,-9.5,56.5,33.0,LAR,65.0,5.142857142857143,26.0,5.1,0.0,0.7142857142857143,0.42857142857142855,3.4285714285714284,0.0,3.7,1.0,2.142857142857143,2.1,0.0,0.0,0.0,0.0,0.0,0.5,10.1541037534749,0.7
Saquon Barkley,8800.0,19.95,True,1.0,43.0,21.0,NYG,2.0,14.0,68.71428571428571,4.9,0.7142857142857143,8.714285714285714,7.0,60.57142857142857,0.2857142857142857,27.1,2.142857142857143,4.142857142857143,1.9,0.42857142857142855,1.0,0.7142857142857143,5.0,0.14285714285714285,5.3,18.20674166543609,20.1
Wayne Gallman,3500.0,19.95,True,1.0,43.0,21.0,NYG,72.0,2.0,7.0,3.5,0.0,1.7142857142857142,1.1428571428571428,8.857142857142858,0.0,2.6,0.2857142857142857,0.7142857142857143,2.5,0.0,0.2857142857142857,0.0,0.0,0.0,0.1,5.385920813248509,-0.1
Elijhaa Penny,3000.0,19.95,True,1.0,43.0,21.0,NYG,127.0,0.3333333333333333,0.6666666666666666,2.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.620339006122034,0.0
Isaiah Crowell,3700.0,18.65,False,7.5,44.5,18.5,NYJ,13.0,11.571428571428571,65.57142857142857,5.7,0.7142857142857143,1.8571428571428572,1.2857142857142858,9.857142857142858,0.0,14.0,2.0,5.142857142857143,2.6,0.42857142857142855,0.0,0.0,0.0,0.0,3.1,9.22272648062677,4.8
