Rank,Name,Team,Position,Played,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
142,David Williams,JAX,RB,1,1,2,2,0,0,0,0,0,0,0,0.2,0.2
143,Cameron Artis-Payne,CAR,RB,5,1,1,1,0,0,0,0,0,0,0,0,0.1
144,Taiwan Jones,BUF,RB,6,0,0,0,0,2,0,0,0,0,0,0,0
144,Senorise Perry,MIA,RB,12,0,0,0,0,0,0,0,0,0,0,0,0
144,Tra Carson,GB,RB,6,0,0,0,0,0,0,0,0,0,0,0,0
144,Patrick Ricard,BAL,FB,10,0,0,0,0,0,0,0,0,0,0,0,0
144,Shane Smith,NYG,FB,2,0,0,0,0,0,0,0,0,0,0,0,0
144,Gregory Howell Jr.,HOU,RB,11,0,0,0,0,0,0,0,0,0,0,0,0
144,Darius Jackson,GB,RB,2,0,0,0,0,0,0,0,0,0,0,0,0
144,Justin Davis,LAR,RB,8,0,0,0,0,0,0,0,0,0,0,0,0
144,Brian Hill,ATL,RB,5,0,0,0,0,0,0,0,0,0,0,0,0
144,Thomas Rawls,CIN,RB,1,0,0,0,0,0,0,0,0,0,0,0,0
144,Dan Vitale,GB,FB,1,0,0,0,0,0,0,0,0,0,0,0,0
144,Darrel Williams,KC,RB,1,0,0,0,0,0,0,0,0,0,0,0,0
144,Dare Ogunbowale,TB,RB,2,0,0,0,0,0,0,0,0,0,0,0,0
144,Matt Dayes,SF,RB,2,0,0,0,0,0,0,0,0,0,0,0,0
144,JD McKissic,SEA,RB,1,0,0,0,0,1,0,0,0,0,0,0,0
