Rank,Name,Team,Position,Played,SnapsPlayed,SnapsPerGame,SnapsPlayedPercentage,RushSnapPercentage,TargetSnapPercentage,TouchSnapPercentage,IntendedTouchSnapPercentage,FantasyPointsDraftKings,FantasyPointSnapPercentageDraftKings
40,Jack Doyle,IND,TE,6,330,55,81.1,0,10,7.9,10,61.5,18.6
41,Matt LaCosse,DEN,TE,12,228,19,29.2,0,9.6,6.1,9.6,37.1,16.3
42,Jacob Hollister,NE,TE,6,54,9,9.6,0,9.3,7.4,9.3,9.2,17
43,Niles Paul,JAX,TE,6,103,17.2,25.8,1,12.6,10.7,13.6,19.5,18.9
44,David Njoku,CLE,TE,12,677,56.4,80.1,0,10.2,6.5,10.2,105.9,15.6
45,David Grinnage,JAX,TE,3,68,22.7,37.8,0,11.8,8.8,11.8,12.1,17.8
46,Jason Croom,BUF,TE,12,282,23.5,35.6,0,8.5,5.3,8.5,40.7,14.4
46,Jake Butt,DEN,TE,3,97,32.3,46.6,0,12.4,8.2,12.4,16.5,17
46,Tyrone Swoopes,SEA,TE,1,26,26,20.5,0,3.8,3.8,3.8,3.3,12.7
49,AJ Derby,MIA,TE,4,124,31,26.7,0,4,2.4,4,13.8,11.1
50,Nick Vannett,SEA,TE,11,412,37.5,57.2,0,8.7,5.8,8.7,58.9,14.3
51,Kyle Rudolph,MIN,TE,12,710,59.2,88.1,0,8.3,6.5,8.3,104.3,14.7
52,Ricky Seals-Jones,ARI,TE,12,432,36,63.1,0,13,6.2,13,61.7,14.3
53,Hayden Hurst,BAL,TE,8,189,23.6,32.1,0.5,7.4,4.2,7.9,21.2,11.2
54,Jonnu Smith,TEN,TE,12,593,49.4,79,0,5.2,3.4,5.2,63.8,10.8
55,Jeff Heuerman,DEN,TE,11,555,50.5,76.9,0,8.6,5.6,8.6,71.1,12.8
56,Rhett Ellison,NYG,TE,11,472,42.9,67.5,0,6.6,4.9,6.6,56.4,11.9
56,Joshua Perkins,PHI,TE,9,95,10.6,15,0,11.6,5.3,11.6,11.7,12.3
58,CJ Uzomah,CIN,TE,12,628,52.3,83.3,0,8,5.4,8,78,12.4
59,Austin Seferian-Jenkins,JAX,TE,5,221,44.2,63,0,9,5,9,26,11.8
60,Darren Fells,CLE,TE,12,327,27.2,38.7,0,2.4,2.1,2.4,28.6,8.7
60,Lance Kendricks,GB,TE,12,269,22.4,33.8,0,6.7,4.8,6.7,30.7,11.4
