Rank,Name,Team,Position,Played,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
130,Brandon LaFell,OAK,WR,3,4,3,75,39,1,18,9.8,13,0,0,0,0,0,0,4.3,12.9
131,De'Anthony Thomas,KC,WR,5,5,3,60,29,1,15,5.8,9.7,1,6,6,0,1,0,2.5,12.5
132,Justin Hardy,ATL,WR,7,10,6,60,61,0,17,6.1,10.2,0,0,0,0,1,0,1.7,12.1
133,Deontay Burnett,NYJ,WR,2,6,5,83.3,70,0,29,11.7,14,0,0,0,0,0,0,6,12
134,Andre Roberts,NYJ,WR,8,9,3,33.3,25,0,20,2.8,8.3,1,2,2,0,2,0,1.5,11.7
135,Kamar Aiken,PHI,WR,5,7,6,85.7,53,0,18,7.6,8.8,0,0,0,0,0,0,2.3,11.3
136,Austin Carr,NO,WR,7,8,5,62.5,62,0,25,7.8,12.4,0,0,0,0,0,0,1.6,11.2
136,Dontrelle Inman,IND,WR,2,7,6,85.7,52,0,16,7.4,8.7,0,0,0,0,0,0,5.6,11.2
138,Bennie Fowler,NYG,WR,2,8,5,62.5,59,0,21,7.4,11.8,0,0,0,0,0,0,5.4,10.9
138,Darius Jennings,TEN,WR,7,4,3,75,19,0,7,4.8,6.3,0,0,0,0,0,0,1.6,10.9
140,Neal Sterling,NYJ,WR,5,8,6,75,47,0,12,5.9,7.8,0,0,0,0,0,0,2.1,10.7
141,Russell Shepard,NYG,WR,6,8,4,50,61,0,40,7.6,15.2,0,0,0,0,0,0,1.7,10.1
142,Kevin White,CHI,WR,7,5,3,60,70,0,54,14,23.3,0,0,0,0,0,0,1.4,10
143,Derrick Willies,CLE,WR,5,5,3,60,61,0,39,12.2,20.3,0,0,0,0,1,0,1.8,9.1
144,JJ Nelson,ARI,WR,8,10,4,40,21,0,9,2.1,5.2,2,15,7.5,0,0,0,1,7.6
145,Daesean Hamilton,DEN,WR,7,4,3,75,44,0,24,11,14.7,0,0,0,0,0,0,1.1,7.4
146,TJ Jones,DET,WR,6,6,3,50,36,0,26,6,12,0,0,0,0,0,0,1.1,6.6
147,Travis Benjamin,LAC,WR,3,7,3,42.9,16,0,13,2.3,5.3,1,19,19,0,0,0,2.2,6.5
148,Dwayne Harris,OAK,WR,6,3,3,100,18,0,7,6,6,2,12,6,0,1,0,1,6
148,Cody Core,CIN,WR,6,6,3,50,30,0,18,5,10,0,0,0,0,0,0,1,6
150,Shelton Gibson,PHI,WR,8,3,1,33.3,48,0,48,16,48,0,0,0,0,0,0,0.7,5.8
150,Ray-Ray McCloud,BUF,WR,5,4,4,100,31,0,16,7.8,7.8,1,-3,-3,0,2,1,1.2,5.8
152,Dan Arnold,NO,WR,3,3,2,66.7,35,0,25,11.7,17.5,0,0,0,0,0,0,1.8,5.5
153,Justin Hunter,PIT,WR,4,10,3,30,21,0,12,2.1,7,0,0,0,0,0,0,1.3,5.1
154,Robert Foster,BUF,WR,6,9,2,22.2,30,0,19,3.3,15,0,0,0,0,0,0,0.8,5
155,Brian Quick,WAS,WR,5,3,3,100,18,0,6,6,6,0,0,0,0,0,0,1,4.8
156,Jawill Davis,NYG,WR,3,6,2,33.3,27,0,22,4.5,13.5,0,0,0,0,0,0,1.6,4.7
157,Deandre Carter,PHI,WR,7,2,2,100,21,0,11,10.5,10.5,0,0,0,0,1,0,0.6,4.1
157,Rishard Matthews,NYJ,WR,4,6,3,50,11,0,4,1.8,3.7,0,0,0,0,0,0,1,4.1
159,Vyncint Smith,HOU,WR,4,4,1,25,28,0,28,7,28,0,0,0,0,0,0,1,3.8
