Rank,Name,Team,Position,Played,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
120,Jamize Olawale,DAL,FB,7,0,0,0,0,1,1,3,0,0,0,0.2,1.3
120,Robert Turbin,IND,RB,2,4,10,2.5,0,2,1,3,0,1,1,0.6,1.3
122,Samaje Perine,WAS,RB,2,3,5,1.7,0,1,1,-3,0,0,0,0.6,1.2
123,Jonathan Williams,NO,RB,3,3,0,0,0,1,1,1,0,0,0,0.4,1.1
124,Kalen Ballage,MIA,RB,4,3,10,3.3,0,0,0,0,0,0,0,0.2,1
125,Christine Michael,IND,RB,1,2,9,4.5,0,0,0,0,0,0,0,0.9,0.9
126,Rob Kelley,WAS,RB,2,4,8,2,0,0,0,0,0,0,0,0.4,0.8
127,Nick Bellore,DET,RB,7,0,0,0,0,1,1,-5,0,0,0,0.1,0.5
128,Deandre Washington,OAK,RB,1,1,4,4,0,0,0,0,0,0,0,0.4,0.4
128,Jeremy McNichols,IND,RB,1,2,4,2,0,0,0,0,0,0,0,0.4,0.4
130,David Fluellen,TEN,RB,5,1,2,2,0,0,0,0,0,0,0,0,0.2
130,Dwayne Washington,NO,RB,1,2,2,1,0,0,0,0,0,0,0,0.2,0.2
130,Elijhaa Penny,NYG,RB,4,1,2,2,0,0,0,0,0,0,0,0,0.2
130,David Williams,JAX,RB,1,1,2,2,0,0,0,0,0,0,0,0.2,0.2
134,Derek Watt,LAC,FB,7,1,1,1,0,0,0,0,0,0,0,0,0.1
135,Taiwan Jones,BUF,RB,6,0,0,0,0,2,0,0,0,0,0,0,0
135,Brandon Bolden,MIA,RB,8,0,0,0,0,0,0,0,0,0,0,0,0
135,Senorise Perry,MIA,RB,8,0,0,0,0,0,0,0,0,0,0,0,0
135,Tra Carson,CIN,RB,2,0,0,0,0,0,0,0,0,0,0,0,0
135,Patrick Ricard,BAL,FB,7,0,0,0,0,0,0,0,0,0,0,0,0
135,Shane Smith,NYG,FB,2,0,0,0,0,0,0,0,0,0,0,0,0
135,Detrez Newsome,LAC,RB,4,1,0,0,0,0,0,0,0,0,0,0,0
135,Gregory Howell Jr.,HOU,RB,7,0,0,0,0,0,0,0,0,0,0,0,0
135,Darius Jackson,GB,RB,2,0,0,0,0,0,0,0,0,0,0,0,0
135,Justin Davis,LAR,RB,5,0,0,0,0,0,0,0,0,0,0,0,0
135,Cameron Artis-Payne,CAR,RB,2,0,0,0,0,0,0,0,0,0,0,0,0
135,Brian Hill,ATL,RB,2,0,0,0,0,0,0,0,0,0,0,0,0
135,TJ Logan,ARI,RB,2,0,0,0,0,0,0,0,0,0,0,0,0
135,Thomas Rawls,CIN,RB,1,0,0,0,0,0,0,0,0,0,0,0,0
