Rank,Name,Team,Position,Played,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
70,Zay Jones,BUF,WR,7,34,19,55.9,226,1,57,6.6,11.9,0,0,0,0,0,0,6.8,47.6
71,Torrey Smith,CAR,WR,6,27,16,59.3,171,2,35,6.3,10.7,0,0,0,0,0,0,7.8,47.1
71,Laquon Treadwell,MIN,WR,7,32,22,68.8,191,1,19,6,8.7,0,0,0,0,0,0,6.7,47.1
73,Rashard Higgins,CLE,WR,5,23,16,69.6,244,1,38,10.6,15.2,0,0,0,0,1,0,9.3,46.4
74,Antonio Callaway,CLE,WR,7,38,16,42.1,200,1,59,5.3,12.5,2,7,3.5,0,0,0,6.4,44.7
75,Randall Cobb,GB,WR,3,27,17,63,194,1,75,7.2,11.4,0,0,0,0,2,1,14.8,44.4
76,Pierre Garcon,SF,WR,7,40,21,52.5,230,0,23,5.8,11,0,0,0,0,0,0,6.3,44
77,Julian Edelman,NE,WR,3,24,16,66.7,147,2,21,6.1,9.2,1,7,7,0,1,0,14.5,43.4
78,Cordarrelle Patterson,NE,WR,7,15,11,73.3,114,2,55,7.6,10.4,7,36,5.1,0,1,1,6.1,43
78,Taywan Taylor,TEN,WR,7,28,19,67.9,190,1,19,6.8,10,0,0,0,0,1,1,6.1,43
80,Adam Humphries,TB,WR,6,32,20,62.5,220,0,51,6.9,11,1,4,4,0,0,0,7.1,42.4
81,Marquez Valdes-Scantling,GB,WR,6,21,12,57.1,212,1,60,10.1,17.7,0,0,0,0,0,0,7,42.2
82,Jarius Wright,CAR,WR,6,23,15,65.2,157,1,28,6.8,10.5,1,34,34,0,1,0,7,42.1
83,Kelvin Benjamin,BUF,WR,7,37,14,37.8,217,1,39,5.9,15.5,0,0,0,0,0,0,6,41.7
84,Ted Ginn,NO,WR,4,22,12,54.5,135,2,42,6.1,11.2,3,26,8.7,0,1,1,10.3,41.1
85,D.J. Moore,CAR,WR,6,18,13,72.2,191,1,51,10.6,14.7,4,46,11.5,0,2,2,6.8,40.7
86,Tre'Quan Smith,NO,WR,6,13,7,53.8,173,2,62,13.3,24.7,0,0,0,0,0,0,6.6,39.3
87,David Moore,SEA,WR,6,10,7,70,124,3,30,12.4,17.7,1,5,5,0,1,0,6.3,37.9
88,Tavon Austin,DAL,WR,6,10,7,70,130,2,64,13,18.6,6,55,9.2,0,0,0,6.2,37.5
89,Trent Taylor,SF,WR,6,26,17,65.4,131,1,16,5,7.7,0,0,0,0,1,0,6,36.1
90,Jamison Crowder,WAS,WR,4,20,13,65,134,1,24,6.7,10.3,3,35,11.7,0,0,0,9,35.9
91,Anthony Miller,CHI,WR,5,22,11,50,124,2,29,5.6,11.3,0,0,0,0,0,0,7.1,35.4
91,Martavis Bryant,OAK,WR,5,22,14,63.6,220,0,47,10,15.7,1,4,4,0,1,1,7.1,35.4
93,Michael Gallup,DAL,WR,7,22,10,45.5,190,1,49,8.6,19,0,0,0,0,0,0,5,35
94,Allen Hurns,DAL,WR,7,28,13,46.4,158,1,33,5.6,12.2,0,0,0,0,1,0,5,34.8
94,Seth Roberts,OAK,WR,5,21,15,71.4,138,1,20,6.6,9.2,0,0,0,0,0,0,7,34.8
96,Chris Conley,KC,WR,7,19,13,68.4,104,2,19,5.5,8,0,0,0,0,1,1,4.9,34.4
97,Kendrick Bourne,SF,WR,7,19,10,52.6,120,2,27,6.3,12,0,0,0,0,0,0,4.9,34
98,Zach Pascal,IND,WR,7,27,14,51.9,124,1,18,4.6,8.9,1,8,8,0,0,0,4.7,33.2
99,Jermaine Kearse,NYJ,WR,6,29,16,55.2,165,0,22,5.7,10.3,0,0,0,0,0,0,5.4,32.5
100,Brandon Marshall,SEA,WR,6,23,11,47.8,136,1,27,5.9,12.4,0,0,0,0,0,0,5.1,30.6
101,Aldrick Robinson,MIN,WR,5,8,4,50,76,3,34,9.5,19,0,0,0,0,0,0,5.9,29.6
102,Ryan Switzer,PIT,WR,6,15,13,86.7,67,1,14,4.5,5.2,4,14,3.5,0,0,0,4.5,27.1
103,Marvin Hall,ATL,WR,7,9,8,88.9,127,1,47,14.1,15.9,0,0,0,0,0,0,3.8,26.7
104,John Ross,CIN,WR,5,16,7,43.8,79,2,39,4.9,11.3,1,-3,-3,0,0,0,5.3,26.6
105,Jaron Brown,SEA,WR,6,10,7,70,73,2,19,7.3,10.4,0,0,0,0,0,0,4.4,26.3
106,Cameron Meredith,NO,WR,4,10,9,90,114,1,46,11.4,12.7,0,0,0,0,1,1,6.4,25.4
107,Doug Baldwin,SEA,WR,4,17,12,70.6,133,0,42,7.8,11.1,0,0,0,0,0,0,6.3,25.3
108,Chad Williams,ARI,WR,7,29,9,31,92,1,22,3.2,10.2,0,0,0,0,0,0,3.5,24.2
109,Bruce Ellington,HOU,WR,3,12,8,66.7,92,1,23,7.7,11.5,0,0,0,0,0,0,7.7,23.2
110,Jordan Matthews,PHI,WR,5,9,6,66.7,107,1,56,11.9,17.8,0,0,0,0,0,0,4.5,22.7
111,Deonte Thompson,DAL,WR,7,18,12,66.7,103,0,13,5.7,8.6,0,0,0,0,0,0,3.2,22.3
112,Marcus Johnson,IND,WR,5,8,6,75,102,1,34,12.8,17,1,-2,-2,0,0,0,4.4,22
112,Josh Doctson,WAS,WR,5,25,11,44,110,0,15,4.4,10,0,0,0,0,0,0,4.4,22
