Rank,Name,Team,Position,Played,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
92,Khari Lee,BUF,TE,2,1,1,100,5,0,5,5,5,0,0,0,0,0,0,0.8,1.5
93,Chris Manhertz,CAR,TE,5,2,1,50,2,0,2,1,2,0,0,0,0,0,0,0.2,1.2
94,Dwayne Allen,NE,TE,6,2,1,50,-4,0,0,-2,-4,0,0,0,0,0,0,0.1,0.6
95,James Hurst,BAL,TE,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,Gabe Holmes,ARI,TE,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,Cole Wick,SF,TE,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,Alex Ellis,KC,TE,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,Jeremy Sprinkle,WAS,TE,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,Mason Schreck,CIN,TE,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,Darrell Daniels,SEA,TE,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,Sean Culkin,LAC,TE,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,Dalton Schultz,DAL,TE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,Durham Smythe,MIA,TE,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,Marcedes Lewis,GB,TE,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,Ben Braunecker,CHI,TE,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,Johnny Mundt,LAR,TE,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,MyCole Pruitt,TEN,TE,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,Ryan Hewitt,IND,TE,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,Brian Parker,DEN,TE,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
