Rank,Name,Team,Position,Played,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
95,Patrick DiMarco,BUF,FB,7,0,0,0,0,0,0,0,0,0,0,0,0
95,Tommy Bohanon,JAX,FB,7,0,0,0,0,0,0,0,0,0,0,0,0
95,Rex Burkhead,NE,RB,3,0,0,0,0,3,0,0,0,0,0,0,0
95,Christine Michael,IND,RB,1,0,0,0,0,0,0,0,0,0,0,0,0
95,Derrick Coleman,ARI,FB,7,0,0,0,0,0,0,0,0,0,0,0,0
95,David Fluellen,TEN,RB,5,0,0,0,0,0,0,0,0,0,0,0,0
95,Jeremy Hill,NE,RB,1,0,0,0,0,0,0,0,0,0,0,0,0
95,Senorise Perry,MIA,RB,7,0,0,0,0,0,0,0,0,0,0,0,0
95,Roosevelt Nix,PIT,RB,6,0,0,0,0,0,0,0,0,0,0,0,0
95,Raheem Mostert,SF,RB,7,1,0,0,0,0,0,0,0,0,0,0,0
95,CJ Prosise,SEA,RB,3,0,0,0,0,0,0,0,0,0,0,0,0
95,Tyler Ervin,HOU,RB,7,0,0,0,0,1,0,0,0,0,0,0,0
95,Andy Janovich,DEN,FB,7,0,0,0,0,0,0,0,0,0,0,0,0
95,Derek Watt,LAC,FB,7,0,0,0,0,0,0,0,0,0,0,0,0
95,Tre Madden,SEA,RB,6,0,0,0,0,0,0,0,0,0,0,0,0
95,Alan Cross,TB,FB,6,0,0,0,0,1,0,0,0,0,0,0,0
95,Rob Kelley,WAS,RB,2,0,0,0,0,0,0,0,0,0,0,0,0
95,Tra Carson,CIN,RB,2,0,0,0,0,0,0,0,0,0,0,0,0
95,CJ Ham,MIN,RB,7,0,0,0,0,0,0,0,0,0,0,0,0
95,Patrick Ricard,BAL,FB,6,0,0,0,0,0,0,0,0,0,0,0,0
95,Shane Smith,NYG,FB,2,0,0,0,0,0,0,0,0,0,0,0,0
95,Chase Edmonds,ARI,RB,7,0,0,0,0,0,0,0,0,0,0,0,0
95,Jaylen Samuels,PIT,FB,4,0,0,0,0,0,0,0,0,0,0,0,0
95,Detrez Newsome,LAC,RB,4,0,0,0,0,0,0,0,0,0,0,0,0
95,Gregory Howell Jr.,HOU,RB,6,0,0,0,0,0,0,0,0,0,0,0,0
95,Benjamin Cunningham,CHI,RB,6,0,0,0,0,0,0,0,0,0,0,0,0
95,Michael Burton,CHI,FB,3,0,0,0,0,0,0,0,0,0,0,0,0
95,Darius Jackson,GB,RB,2,0,0,0,0,0,0,0,0,0,0,0,0
95,Justin Davis,LAR,RB,5,0,0,0,0,0,0,0,0,0,0,0,0
95,Trenton Cannon,NYJ,RB,7,0,0,0,0,0,0,0,0,0,0,0,0
95,De'Lance Turner,BAL,RB,4,0,0,0,0,0,0,0,0,0,0,0,0
95,Cameron Artis-Payne,CAR,RB,2,0,0,0,0,0,0,0,0,0,0,0,0
95,Brian Hill,ATL,RB,2,0,0,0,0,0,0,0,0,0,0,0,0
95,TJ Logan,ARI,RB,1,0,0,0,0,0,0,0,0,0,0,0,0
95,Mike Boone,MIN,RB,5,0,0,0,0,0,0,0,0,0,0,0,0
95,Josh Adams,PHI,RB,4,1,0,0,0,0,0,0,0,0,0,0,0
95,Samaje Perine,WAS,RB,2,0,0,0,0,0,0,0,0,0,0,0,0
95,Kalen Ballage,MIA,RB,3,0,0,0,0,0,0,0,0,0,0,0,0
95,Dwayne Washington,NO,RB,1,0,0,0,0,0,0,0,0,0,0,0,0
95,Ameer Abdullah,DET,RB,2,0,0,0,0,0,0,0,0,0,0,0,0
95,Thomas Rawls,CIN,RB,1,0,0,0,0,0,0,0,0,0,0,0,0
95,Elijhaa Penny,NYG,RB,3,0,0,0,0,0,0,0,0,0,0,0,0
95,Gus Edwards,BAL,RB,2,0,0,0,0,0,0,0,0,0,0,0,0
95,Justin Jackson,LAC,RB,2,0,0,0,0,0,0,0,0,0,0,0,0
95,Jamaal Charles,JAX,RB,2,0,0,0,0,0,0,0,0,0,0,0,0
95,Dontrell Hilliard,CLE,RB,2,0,0,0,0,0,0,0,0,0,0,0,0
95,David Williams,JAX,RB,1,0,0,0,0,0,0,0,0,0,0,0,0
146,Jonathan Williams,NO,RB,3,1,-1,-1,0,0,0,0,0,0,0,0,-0.1
147,Rashaad Penny,SEA,RB,6,1,-2,-2,0,0,0,0,0,0,0,0,-0.2
