Rank,Name,Team,Position,Week,Opponent,DraftKingsQuarterbackFantasyPointsAllowedAverage,DraftKingsRunningbackFantasyPointsAllowedAverage,DraftKingsWideReceiverFantasyPointsAllowedAverage,DraftKingsTightEndFantasyPointsAllowedAverage,DraftKingsKickerFantasyPointsAllowedAverage,DraftKingsFantasyPointsAllowedAverage
55,Chicago Bears,CHI,DST,5,KC,13.34,25.1,18.1,6.5,0,63.04
56,Pittsburgh Steelers,PIT,DST,13,IND,9.9,25.5,20.2,7.6,0,63.2
57,Carolina Panthers,CAR,DST,11,WAS,9.68,6.9,34.5,12.3,0,63.38
58,Minnesota Vikings,MIN,DST,9,LAR,6.92,20.8,29.3,6.5,0,63.52
59,Miami Dolphins,MIA,DST,16,IND,6.98,24.9,25.9,6,0,63.78
60,New York Jets,NYJ,DST,6,WAS,9.94,15.8,30.2,7.9,0,63.84
61,Atlanta Falcons,ATL,DST,7,TEN,9.48,18.5,18.3,17.6,0,63.88
62,New England Patriots,NE,DST,9,WAS,11.68,10.5,31.1,10.8,0,64.08
63,Carolina Panthers,CAR,DST,1,JAX,11.92,19.1,33.2,0,0,64.22
63,Kansas City Chiefs,KC,DST,14,LAC,9.92,14.6,21.5,18.2,0,64.22
65,Oakland Raiders,OAK,DST,5,DEN,8.64,12.2,43.7,0,0,64.54
66,Los Angeles Chargers,LAC,DST,14,KC,14.64,11.2,30.3,8.6,0,64.74
67,Cleveland Browns,CLE,DST,16,KC,17.4,8.6,22.8,16.3,0,65.1
68,Dallas Cowboys,DAL,DST,11,MIA,15.82,13.1,26.3,10.1,0,65.32
69,Philadelphia Eagles,PHI,DST,6,NYG,10.76,12.5,32.3,10.1,0,65.66
69,Detroit Lions,DET,DST,14,LAR,4.16,36.7,22.7,2.1,0,65.66
71,Carolina Panthers,CAR,DST,12,DAL,11.86,15.4,30.3,8.4,0,65.96
72,Los Angeles Chargers,LAC,DST,3,MIN,3.74,39,20.1,3.4,0,66.24
73,Los Angeles Chargers,LAC,DST,15,MIA,15.04,18.8,29.4,3.4,0,66.64
74,New York Jets,NYJ,DST,1,CLE,15.04,7.9,31.3,12.5,0,66.74
75,New York Jets,NYJ,DST,3,PHI,8.52,42.4,10.9,5,0,66.82
76,Jacksonville Jaguars,JAX,DST,14,IND,9.6,20.7,33.3,3.3,0,66.9
77,New York Jets,NYJ,DST,10,BUF,11.52,35.9,9.3,10.2,0,66.92
78,Denver Broncos,DEN,DST,2,KC,7.14,33.6,9.5,17.2,0,67.44
79,New York Jets,NYJ,DST,15,DAL,7.8,16.4,30.8,12.6,0,67.6
80,Cleveland Browns,CLE,DST,7,LAR,6.32,39.7,17.3,4.3,0,67.62
81,Indianapolis Colts,IND,DST,15,HOU,11.22,19,32.5,5,0,67.72
82,Los Angeles Rams,LAR,DST,9,MIN,14.96,28.8,14.3,9.7,0,67.76
83,New England Patriots,NE,DST,11,BUF,9.42,25.4,30.8,2.4,0,68.02
84,Atlanta Falcons,ATL,DST,8,TB,19.48,16.4,13.6,19,0,68.48
85,New England Patriots,NE,DST,13,PHI,12.7,28,16.4,11.5,0,68.6
86,Dallas Cowboys,DAL,DST,8,SEA,14.6,13.1,14.4,26.6,0,68.7
87,Houston Texans,HOU,DST,16,TEN,11.36,10.1,26.5,20.8,0,68.76
88,Dallas Cowboys,DAL,DST,13,WAS,13.36,14,35.3,6.3,0,68.96
89,New York Jets,NYJ,DST,16,NE,12.14,26.7,18.2,12.6,0,69.64
90,San Francisco 49ers,SF,DST,15,CIN,11.88,23.2,20.6,14,0,69.68
91,Houston Texans,HOU,DST,11,NYJ,17.84,19.9,32,0,0,69.74
92,Chicago Bears,CHI,DST,8,MIN,12.58,21.8,27.8,7.7,0,69.88
93,New York Jets,NYJ,DST,4,MIA,14.32,5.7,37.1,13.5,0,70.62
94,Denver Broncos,DEN,DST,11,CHI,11.5,16.4,30.5,12.3,0,70.7
95,Atlanta Falcons,ATL,DST,5,WAS,10.86,23,26.2,10.7,0,70.76
96,Buffalo Bills,BUF,DST,10,NYJ,16.72,17.2,36.9,0,0,70.82
97,Kansas City Chiefs,KC,DST,8,DET,11.58,16.6,37.3,5.4,0,70.88
97,New Orleans Saints,NO,DST,2,TB,19.58,20.8,25.6,4.9,0,70.88
99,New Orleans Saints,NO,DST,14,TB,13.68,29,18.6,9.7,0,70.98
100,Houston Texans,HOU,DST,3,TB,13.44,17.8,35.2,4.8,0,71.24
101,Kansas City Chiefs,KC,DST,6,MIN,11.46,12.7,36.1,11,0,71.26
102,Los Angeles Rams,LAR,DST,3,PIT,8,26.4,33.3,3.7,0,71.4
103,Dallas Cowboys,DAL,DST,16,BUF,12.86,35.6,19.3,3.9,0,71.66
104,Baltimore Ravens,BAL,DST,4,PIT,12.26,31.5,27.2,1.1,0,72.06
105,Denver Broncos,DEN,DST,10,KC,15.46,39.2,7.3,10.2,0,72.16
106,Atlanta Falcons,ATL,DST,9,SF,16.6,17.2,19.3,19.1,0,72.2
107,Baltimore Ravens,BAL,DST,15,KC,12.34,17.9,28.7,13.3,0,72.24
108,Chicago Bears,CHI,DST,4,OAK,13.84,24.1,27.9,6.6,0,72.44
109,Arizona Cardinals,ARI,DST,6,PIT,19.56,8.7,42.7,1.5,0,72.46
110,Detroit Lions,DET,DST,12,PHI,15.36,13.6,34.7,9,0,72.66
110,Tampa Bay Buccaneers,TB,DST,4,CAR,17.06,10.2,26.5,18.9,0,72.66
112,Jacksonville Jaguars,JAX,DST,11,TEN,18.14,16.1,10.6,27.9,0,72.74
113,Kansas City Chiefs,KC,DST,7,PIT,9.16,23.4,40.4,0,0,72.96
114,Green Bay Packers,GB,DST,12,CHI,12.9,18.6,30.9,10.7,0,73.1
115,New York Giants,NYG,DST,9,TB,18.28,15.3,36.9,2.7,0,73.18
116,New York Jets,NYJ,DST,2,IND,12.4,15,45.9,0,0,73.3
117,Denver Broncos,DEN,DST,5,OAK,11.86,33.3,18.3,10.6,0,74.06
118,Pittsburgh Steelers,PIT,DST,8,CIN,11.64,13.2,38.2,11.1,0,74.14
119,San Francisco 49ers,SF,DST,13,CHI,8.08,39.8,20.4,6,0,74.28
120,Dallas Cowboys,DAL,DST,10,TB,14.86,21.2,30.2,8.1,0,74.36
121,Seattle Seahawks,SEA,DST,11,SF,16.76,15.7,20.4,22,0,74.86
121,Oakland Raiders,OAK,DST,15,GB,11.06,15.1,45.5,3.2,0,74.86
123,Tennessee Titans,TEN,DST,11,JAX,12.58,13.9,30.9,17.5,0,74.88
124,Los Angeles Chargers,LAC,DST,5,PIT,13.52,27.7,26.1,7.6,0,74.92
125,Tampa Bay Buccaneers,TB,DST,16,CHI,12.34,33.7,15.3,13.9,0,75.24
126,Miami Dolphins,MIA,DST,1,WAS,9.74,20,23.7,22.1,0,75.54
127,New England Patriots,NE,DST,3,JAX,17.38,12,32.9,13.3,0,75.58
128,Tennessee Titans,TEN,DST,1,TB,16.2,14.3,14.1,31,0,75.6
129,Minnesota Vikings,MIN,DST,12,ATL,11.1,15.5,37.3,11.9,0,75.8
129,Denver Broncos,DEN,DST,16,CIN,13.1,18.2,35.9,8.6,0,75.8
131,Washington Redskins,WAS,DST,1,MIA,12.74,9.8,42.2,11.3,0,76.04
132,Minnesota Vikings,MIN,DST,6,KC,16.28,9.8,28.5,21.6,0,76.18
133,Baltimore Ravens,BAL,DST,10,JAX,17.02,11.8,41.3,6.2,0,76.32
134,Indianapolis Colts,IND,DST,12,TB,15.5,17.7,27,16.3,0,76.5
135,Minnesota Vikings,MIN,DST,1,SF,10.7,38,12.2,16.2,0,77.1
136,Atlanta Falcons,ATL,DST,11,IND,15.32,33.2,19.5,9.2,0,77.22
137,Carolina Panthers,CAR,DST,7,PHI,7.8,39.1,16.1,14.4,0,77.4
138,Atlanta Falcons,ATL,DST,12,MIN,5.66,45.8,10.4,15.6,0,77.46
139,Green Bay Packers,GB,DST,2,SEA,23.04,18.8,28.2,7.7,0,77.74
140,Miami Dolphins,MIA,DST,6,TEN,11.68,19.7,26.6,19.8,0,77.78
141,Baltimore Ravens,BAL,DST,16,PIT,6.5,35.9,24.2,11.2,0,77.8
142,New Orleans Saints,NO,DST,4,DAL,14.34,18.4,33.8,11.4,0,77.94
143,Indianapolis Colts,IND,DST,1,BUF,15.9,29.3,24.5,8.3,0,78
144,Detroit Lions,DET,DST,4,SEA,19.68,13.1,35,10.4,0,78.18
145,Minnesota Vikings,MIN,DST,4,DEN,10.32,28.8,30.2,8.9,0,78.22
146,Los Angeles Rams,LAR,DST,5,GB,18.54,12.4,36.9,10.5,0,78.34
147,Oakland Raiders,OAK,DST,11,DET,20.38,24.2,32,1.8,0,78.38
148,Buffalo Bills,BUF,DST,7,JAX,13.98,23.2,36.6,4.7,0,78.48
149,New England Patriots,NE,DST,8,MIA,12.9,23.5,35.1,7,0,78.5
150,Tennessee Titans,TEN,DST,2,CLE,14.98,17.5,43.5,2.7,0,78.68
151,Los Angeles Rams,LAR,DST,7,CLE,12.48,22.7,21.5,22.1,0,78.78
152,Chicago Bears,CHI,DST,12,GB,14.38,37.9,16.8,9.9,0,78.98
153,Detroit Lions,DET,DST,2,MIN,18.22,30.7,16.4,14,0,79.32
154,Chicago Bears,CHI,DST,13,SF,25.34,23.6,25.3,5.3,0,79.54
155,Minnesota Vikings,MIN,DST,8,CHI,19.54,15.5,39,6.2,0,80.24
156,Arizona Cardinals,ARI,DST,2,CHI,13.54,23.4,31.5,12.2,0,80.64
157,Denver Broncos,DEN,DST,6,CLE,14.72,18.4,28.7,18.9,0,80.72
158,Tennessee Titans,TEN,DST,7,ATL,11.74,21.1,39.3,8.7,0,80.84
159,San Francisco 49ers,SF,DST,12,ARI,17.44,20.4,41.2,1.9,0,80.94
160,Philadelphia Eagles,PHI,DST,10,MIA,16.48,26.1,35.4,3.3,0,81.28
161,Green Bay Packers,GB,DST,10,DET,16.78,14.3,36.3,14,0,81.38
162,Philadelphia Eagles,PHI,DST,2,DAL,15.62,23,26.6,16.2,0,81.42
163,Los Angeles Chargers,LAC,DST,16,OAK,16.16,26.5,32.9,5.9,0,81.46
164,New York Jets,NYJ,DST,14,TEN,23.36,19.14,22.3,16.7,0,81.5
164,Tennessee Titans,TEN,DST,8,HOU,17.3,18.6,42.1,3.5,0,81.5
166,Minnesota Vikings,MIN,DST,7,DET,18.74,17.6,23,22.2,0,81.54
167,Oakland Raiders,OAK,DST,13,KC,24.78,16.9,32.7,7.2,0,81.58
168,Chicago Bears,CHI,DST,9,LAC,15.2,33,20.8,12.9,0,81.9
169,Washington Redskins,WAS,DST,10,NO,14.36,22.8,40,4.9,0,82.06
170,Carolina Panthers,CAR,DST,6,SEA,18.94,15.9,19.8,27.6,0,82.24
171,Carolina Panthers,CAR,DST,2,HOU,19.36,19.8,32.5,10.6,0,82.26
172,Oakland Raiders,OAK,DST,14,DEN,16.32,20,24.5,21.7,0,82.52
173,Los Angeles Chargers,LAC,DST,11,KC,13.42,32.2,22.8,14.2,0,82.62
174,Cincinnati Bengals,CIN,DST,1,OAK,14.92,40.9,24.4,2.5,0,82.72
175,Jacksonville Jaguars,JAX,DST,15,ATL,12.84,25.4,44.5,0,0,82.74
176,Cincinnati Bengals,CIN,DST,5,SEA,13.62,32.8,26.7,9.7,0,82.82
177,New York Giants,NYG,DST,4,BUF,15.46,20.4,20.2,26.8,0,82.86
178,Green Bay Packers,GB,DST,13,DET,18,19.8,36.2,8.9,0,82.9
179,Tampa Bay Buccaneers,TB,DST,13,ATL,14.16,26.8,36.5,5.6,0,83.06
180,Arizona Cardinals,ARI,DST,10,SEA,17.8,20.1,38.1,7.1,0,83.1
181,Pittsburgh Steelers,PIT,DST,4,BAL,9.56,24.6,41.2,7.9,0,83.26
182,Jacksonville Jaguars,JAX,DST,4,IND,15.38,11.9,32.9,23.3,0,83.48
183,Oakland Raiders,OAK,DST,12,TEN,21.42,13.6,20.6,28.3,0,83.92
184,Philadelphia Eagles,PHI,DST,7,CAR,16.88,30.3,27.3,9.5,0,83.98
185,Arizona Cardinals,ARI,DST,8,CLE,20.82,13,32,18.3,0,84.12
186,Buffalo Bills,BUF,DST,14,PHI,13.18,24.4,30.7,15.9,0,84.18
187,Los Angeles Chargers,LAC,DST,1,DET,15.74,37.8,15.5,15.3,0,84.34
188,Detroit Lions,DET,DST,16,SF,16.9,20.3,30.3,17.1,0,84.6
189,Cincinnati Bengals,CIN,DST,12,LAR,7.56,17.2,44.2,15.7,0,84.66
190,Arizona Cardinals,ARI,DST,7,BAL,15.08,29.4,24,16.3,0,84.78
191,Houston Texans,HOU,DST,5,IND,16.22,18.9,42.7,7,0,84.82
192,Cincinnati Bengals,CIN,DST,2,LAC,16.14,27.4,31.6,9.7,0,84.84
192,Indianapolis Colts,IND,DST,9,DEN,17.24,4.9,35.2,27.5,0,84.84
194,Oakland Raiders,OAK,DST,10,MIN,11.9,38.8,20,14.2,0,84.9
195,New York Jets,NYJ,DST,13,NYG,15.08,14.8,45.1,10,0,84.98
196,Tennessee Titans,TEN,DST,10,CAR,20.98,18.2,19,27.1,0,85.28
196,Buffalo Bills,BUF,DST,11,NE,14.08,27.2,37,7,0,85.28
198,San Francisco 49ers,SF,DST,7,SEA,13.4,34.8,32.2,5.1,0,85.5
199,San Francisco 49ers,SF,DST,4,GB,16.26,24.1,29.7,15.5,0,85.56
200,Minnesota Vikings,MIN,DST,15,CHI,15.34,32.9,23.9,13.6,0,85.74
201,Tennessee Titans,TEN,DST,16,HOU,22.98,14.2,44.7,3.9,0,85.78
202,Carolina Panthers,CAR,DST,8,IND,17.74,15.3,34.2,18.7,0,85.94
203,Denver Broncos,DEN,DST,3,DET,12.58,34.2,29.4,10.1,0,86.28
203,Cincinnati Bengals,CIN,DST,8,PIT,11.48,22.8,27.1,24.9,0,86.28
205,Atlanta Falcons,ATL,DST,13,TB,19.58,25.7,30.4,10.7,0,86.38
206,Green Bay Packers,GB,DST,1,CHI,15.1,32.3,22.5,16.5,0,86.4
207,Cleveland Browns,CLE,DST,1,NYJ,14.06,33,39.4,0,0,86.46
208,Cleveland Browns,CLE,DST,12,BAL,16.28,25.9,37.7,7,0,86.88
209,New York Giants,NYG,DST,7,DAL,10.48,32.6,29.1,14.9,0,87.08
210,Arizona Cardinals,ARI,DST,12,SF,19.82,13.6,25,28.8,0,87.22
211,New England Patriots,NE,DST,15,TEN,16.46,20,23.8,27,0,87.26
212,Miami Dolphins,MIA,DST,11,DAL,15.28,25.7,37.7,8.7,0,87.38
213,Buffalo Bills,BUF,DST,1,IND,19.72,9.2,44.3,14.2,0,87.42
214,Houston Texans,HOU,DST,2,CAR,28.4,12.7,33.4,13,0,87.5
215,Indianapolis Colts,IND,DST,8,CAR,20.02,19.6,28.2,19.9,0,87.72
216,Chicago Bears,CHI,DST,3,SEA,16.2,20.9,29.4,21.3,0,87.8
217,Atlanta Falcons,ATL,DST,15,JAX,25.28,16.7,28.6,17.5,0,88.08
217,Minnesota Vikings,MIN,DST,11,GB,19.08,20.4,44.9,3.7,0,88.08
219,Tampa Bay Buccaneers,TB,DST,9,NYG,14.42,27,39.9,6.9,0,88.22
220,Indianapolis Colts,IND,DST,2,NYJ,17.36,17.4,53.5,0,0,88.26
221,Minnesota Vikings,MIN,DST,16,NYG,17.08,23.9,32.3,15.1,0,88.38
222,San Francisco 49ers,SF,DST,8,LAR,13.34,32.8,29.9,12.4,0,88.44
223,Tampa Bay Buccaneers,TB,DST,15,LAR,17.06,18,37.4,16.1,0,88.56
224,Tennessee Titans,TEN,DST,15,NE,18.68,33.2,18.7,18.1,0,88.68
225,Philadelphia Eagles,PHI,DST,14,BUF,19.02,24.9,40.8,4,0,88.72
226,Cincinnati Bengals,CIN,DST,15,SF,13.8,32.3,32.4,10.3,0,88.8
227,Cincinnati Bengals,CIN,DST,14,PIT,10.78,23.1,38.2,16.8,0,88.88
228,Pittsburgh Steelers,PIT,DST,7,KC,14.54,29.4,31.5,13.5,0,88.94
229,Kansas City Chiefs,KC,DST,5,CHI,18.58,24.4,38.8,7.2,0,88.98
230,Tampa Bay Buccaneers,TB,DST,2,NO,13.1,30.2,41.4,4.4,0,89.1
231,Arizona Cardinals,ARI,DST,4,LAR,18.74,23.4,40.6,6.6,0,89.34
232,Los Angeles Rams,LAR,DST,11,BAL,13.96,23.4,29,23.1,0,89.46
233,Washington Redskins,WAS,DST,4,PHI,24.2,9.5,44.7,11.1,0,89.5
234,Jacksonville Jaguars,JAX,DST,5,TB,15.26,57.4,11.5,5.4,0,89.56
235,Chicago Bears,CHI,DST,16,TB,19.8,31.2,17.4,21.3,0,89.7
236,Buffalo Bills,BUF,DST,4,NYG,19.28,24.8,37,8.8,0,89.88
237,San Francisco 49ers,SF,DST,9,ATL,19.32,22.2,35.4,13.2,0,90.12
238,Dallas Cowboys,DAL,DST,15,NYJ,16.26,27.2,44.8,1.9,0,90.16
239,Miami Dolphins,MIA,DST,2,JAX,21.62,12.7,55.9,0,0,90.22
240,Houston Texans,HOU,DST,14,NE,18.04,24.4,29.1,18.7,0,90.24
241,Los Angeles Chargers,LAC,DST,2,CIN,21.56,24.8,29.1,14.9,0,90.36
242,Cleveland Browns,CLE,DST,2,TEN,18.18,23.8,18.7,29.9,0,90.58
243,Denver Broncos,DEN,DST,4,MIN,16.06,20.3,51.9,2.7,0,90.96
244,New England Patriots,NE,DST,7,NYJ,21.7,22.9,44,2.6,0,91.2
245,Indianapolis Colts,IND,DST,16,MIA,17.96,26.3,38.8,8.2,0,91.26
246,New York Giants,NYG,DST,16,MIN,11.52,47.3,19.2,13.3,0,91.32
247,Los Angeles Rams,LAR,DST,16,SEA,21.36,13.8,47.9,8.3,0,91.36
248,New Orleans Saints,NO,DST,12,HOU,14.9,26.6,28.7,21.2,0,91.4
249,New York Giants,NYG,DST,12,WAS,25.18,20,27.2,19.4,0,91.78
250,New York Giants,NYG,DST,14,MIA,15.84,25.5,40.6,9.9,0,91.84
251,Oakland Raiders,OAK,DST,16,LAC,15.08,32.8,34,10.1,0,91.98
252,Tampa Bay Buccaneers,TB,DST,11,PHI,16.84,30.7,26.5,18.1,0,92.14
253,Seattle Seahawks,SEA,DST,1,LAR,20.98,15.5,30,25.7,0,92.18
254,Minnesota Vikings,MIN,DST,2,DET,20.44,15.4,41.7,15.3,0,92.84
255,Atlanta Falcons,ATL,DST,3,DAL,8.28,63.5,8.9,12.5,0,93.18
256,Los Angeles Rams,LAR,DST,2,WAS,12.12,42.8,24.5,14.2,0,93.62
257,Chicago Bears,CHI,DST,1,GB,23.06,18.1,45.8,6.8,0,93.76
258,Green Bay Packers,GB,DST,11,MIN,20.14,20.2,22.2,31.3,0,93.84
259,Kansas City Chiefs,KC,DST,15,BAL,20.24,22.7,42.9,8.1,0,93.94
260,Jacksonville Jaguars,JAX,DST,9,NYJ,18.88,22.7,47,5.4,0,93.98
261,New York Giants,NYG,DST,6,PHI,12.4,31.9,41.4,8.3,0,94
261,Los Angeles Chargers,LAC,DST,6,GB,19.6,35.7,30.2,8.5,0,94
263,Miami Dolphins,MIA,DST,4,NYJ,15.12,38.3,40.8,0,0,94.22
264,Denver Broncos,DEN,DST,9,IND,21.48,25.3,31.5,16,0,94.28
265,Los Angeles Rams,LAR,DST,14,DET,17.3,31.3,38.4,7.4,0,94.4
266,Pittsburgh Steelers,PIT,DST,16,BAL,14.96,37.1,38.8,3.6,0,94.46
267,Carolina Panthers,CAR,DST,16,ATL,18.34,18.3,51,6.9,0,94.54
268,Green Bay Packers,GB,DST,15,OAK,21.24,15.7,49.7,8,0,94.64
269,Baltimore Ravens,BAL,DST,12,CLE,21.46,11.8,45.4,16.1,0,94.76
270,Chicago Bears,CHI,DST,11,DEN,18.4,23.6,27.4,25.6,0,95
271,Arizona Cardinals,ARI,DST,14,MIN,19.7,24.8,27.2,23.4,0,95.1
271,Denver Broncos,DEN,DST,12,NE,23.2,24.8,8.4,38.7,0,95.1
273,Oakland Raiders,OAK,DST,4,CHI,18.24,19.2,32.4,25.3,0,95.14
274,Washington Redskins,WAS,DST,5,ATL,9.16,36,32.6,17.4,0,95.16
274,Cincinnati Bengals,CIN,DST,16,DEN,16.46,25.3,39.6,13.8,0,95.16
276,Jacksonville Jaguars,JAX,DST,7,BUF,20.72,15.6,47.8,11.1,0,95.22
277,Tampa Bay Buccaneers,TB,DST,3,HOU,12.02,33.6,48,1.9,0,95.52
278,Green Bay Packers,GB,DST,16,ARI,17.56,32,44.5,1.7,0,95.76
279,Los Angeles Chargers,LAC,DST,8,BAL,25.96,19.4,39.2,11.3,0,95.86
280,Tennessee Titans,TEN,DST,3,IND,18.5,23.2,38.9,15.3,0,95.9
281,Buffalo Bills,BUF,DST,9,MIA,16.48,37.2,38.86,3.5,0,96.04
282,Baltimore Ravens,BAL,DST,6,SF,25.6,19.9,48.6,2,0,96.1
283,Philadelphia Eagles,PHI,DST,1,ATL,18.62,15.7,55.6,6.3,0,96.22
284,New York Jets,NYJ,DST,11,HOU,15.66,28.4,49.64,2.6,0,96.3
285,Los Angeles Rams,LAR,DST,1,SEA,16.14,22,41.3,17.1,0,96.54
286,Cincinnati Bengals,CIN,DST,6,BUF,21.72,21.1,28.6,25.6,0,97.02
287,Los Angeles Rams,LAR,DST,12,CIN,20.84,22.5,34.4,19.3,0,97.04
288,Arizona Cardinals,ARI,DST,1,NO,20.5,35.1,36.6,4.9,0,97.1
289,Washington Redskins,WAS,DST,12,NYG,20.84,12.7,49.1,14.6,0,97.24
290,Cleveland Browns,CLE,DST,5,BAL,24.6,47.9,18.3,6.7,0,97.5
291,Cleveland Browns,CLE,DST,6,DEN,12.6,28.1,52.7,4.4,0,97.8
292,Philadelphia Eagles,PHI,DST,3,NYJ,17.62,16.6,61.1,3,0,98.32
293,Dallas Cowboys,DAL,DST,5,NE,25.1,30.7,31.9,10.7,0,98.4
294,Miami Dolphins,MIA,DST,13,BAL,17.32,43.4,31.6,6.2,0,98.52
295,Seattle Seahawks,SEA,DST,2,GB,22.26,14.5,48.5,13.3,0,98.56
296,Houston Texans,HOU,DST,1,KC,23.22,28.2,15.7,31.6,0,98.72
297,Pittsburgh Steelers,PIT,DST,14,CIN,19.36,21.6,44.7,13.2,0,98.86
297,Cleveland Browns,CLE,DST,13,CIN,24.66,21.9,46.5,5.8,0,98.86
299,Minnesota Vikings,MIN,DST,3,LAC,18.36,15.2,58.2,7.5,0,99.26
300,Philadelphia Eagles,PHI,DST,4,WAS,21.7,19.3,46.8,11.5,0,99.3
301,Washington Redskins,WAS,DST,3,NYG,19.16,19.9,48.5,11.9,0,99.46
