Rank,Name,Team,Position,Played,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
40,Mike Gesicki,MIA,TE,7,4,3,75,21,0,11,5.2,7,0,0,0,0,0,0,0.7,5.1
41,Maxx Williams,BAL,TE,7,4,3,75,12,0,6,3,4,0,0,0,0,0,0,0.6,4.2
42,Jack Doyle,IND,TE,2,3,2,66.7,21,0,12,7,10.5,0,0,0,0,0,0,2,4.1
43,Gerald Everett,LAR,TE,7,5,3,60,10,0,10,2,3.3,0,0,0,0,0,0,0.6,4
44,Ian Thomas,CAR,TE,6,3,2,66.7,15,0,8,5,7.5,0,0,0,0,0,0,0.6,3.5
45,Jeff Heuerman,DEN,TE,7,8,2,25,9,0,5,1.1,4.5,0,0,0,0,0,0,0.4,2.9
46,Nick Boyle,BAL,TE,7,6,2,33.3,6,0,4,1,3,0,0,0,0,0,0,0.4,2.6
47,Ryan Griffin,HOU,TE,6,9,1,11.1,13,0,13,1.4,13,0,0,0,0,0,0,0.4,2.3
48,Jermaine Gresham,ARI,TE,5,1,1,100,11,0,11,11,11,0,0,0,0,0,0,0.4,2.1
49,David Morgan,MIN,TE,6,1,1,100,9,0,9,9,9,0,0,0,0,0,0,0.3,1.9
50,Joshua Perkins,PHI,TE,7,1,1,100,8,0,8,8,8,0,0,0,0,0,0,0.3,1.8
50,Nick Vannett,SEA,TE,5,1,1,100,8,0,8,8,8,0,0,0,0,0,0,0.4,1.8
52,Jesse James,PIT,TE,6,2,1,50,7,0,7,3.5,7,0,0,0,0,0,0,0.3,1.7
52,Mo Alie-Cox,IND,TE,3,2,1,50,7,0,7,3.5,7,0,0,0,0,0,0,0.6,1.7
54,Charles Clay,BUF,TE,7,3,1,33.3,5,0,5,1.7,5,0,0,0,0,0,0,0.2,1.5
54,Tyler Kroft,CIN,TE,5,2,1,50,5,0,5,2.5,5,0,0,0,0,0,0,0.3,1.5
54,James O'Shaughnessy,JAX,TE,6,1,1,100,5,0,5,5,5,0,0,0,0,0,0,0.2,1.5
57,Jonnu Smith,TEN,TE,7,2,1,50,3,0,3,1.5,3,0,0,0,0,0,0,0.2,1.3
58,Vance McDonald,PIT,TE,5,2,1,50,0,0,0,0,0,0,0,0,0,1,0,0.2,1
59,Eric Saubert,ATL,TE,7,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
59,Vernon Davis,WAS,TE,6,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
59,Delanie Walker,TEN,TE,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,Rob Gronkowski,NE,TE,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,Niles Paul,JAX,TE,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,Orson Charles,CLE,TE,7,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
59,Dwayne Allen,NE,TE,7,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
59,Darren Fells,CLE,TE,7,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
59,James Hurst,BAL,TE,6,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
59,Scott Simonson,NYG,TE,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,Xavier Grimble,PIT,TE,6,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
59,Logan Thomas,BUF,TE,5,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
59,Gabe Holmes,ARI,TE,7,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
59,Matt LaCosse,DEN,TE,7,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
59,Chris Manhertz,CAR,TE,6,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
59,Seth DeValve,CLE,TE,4,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
59,Cole Wick,SF,TE,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,Alex Ellis,KC,TE,2,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
59,Jake Butt,DEN,TE,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,Jeremy Sprinkle,WAS,TE,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,Mason Schreck,CIN,TE,6,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
59,Darrell Daniels,SEA,TE,5,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
59,Antony Auclair,TB,TE,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,Ricky Seals-Jones,ARI,TE,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,Jason Croom,BUF,TE,7,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
59,Blake Jarwin,DAL,TE,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,Sean Culkin,LAC,TE,7,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
59,Jordan Akins,HOU,TE,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,Dalton Schultz,DAL,TE,2,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
59,Durham Smythe,MIA,TE,7,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
59,Tyler Conklin,MIN,TE,7,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
59,Jordan Thomas,HOU,TE,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,Marcedes Lewis,GB,TE,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,Dion Sims,CHI,TE,6,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
59,Ben Braunecker,CHI,TE,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,Lee Smith,OAK,TE,6,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
59,Luke Willson,DET,TE,6,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
59,Levine Toilolo,DET,TE,6,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
59,Derek Carrier,OAK,TE,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,Eric Tomlinson,NYJ,TE,7,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
59,Hakeem Valles,DET,TE,3,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
59,Johnny Mundt,LAR,TE,7,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
