Rank,Name,Team,Position,Played,SnapsPlayed,SnapsPerGame,SnapsPlayedPercentage,RushSnapPercentage,TargetSnapPercentage,TouchSnapPercentage,IntendedTouchSnapPercentage,FantasyPointsDraftKings,FantasyPointSnapPercentageDraftKings
80,Hakeem Valles,DET,TE,3,29,9.7,11.2,0,10.3,6.9,10.3,3.1,10.7
82,Jordan Akins,HOU,TE,9,240,26.7,38.5,0,5.8,3.8,5.8,17.9,7.5
82,Ben Braunecker,CHI,TE,8,54,6.8,9,0,3.7,1.9,3.7,3,5.6
84,Marcedes Lewis,GB,TE,9,108,12,17.5,0,2.8,1.9,2.8,5.5,5.1
85,Tyler Kroft,CIN,TE,5,116,23.2,23.3,0,5.2,3.4,5.2,7.6,6.6
86,Derek Carrier,OAK,TE,9,132,14.7,22.4,0,7.6,3.8,7.6,8.8,6.7
87,Luke Willson,DET,TE,8,264,33,43.4,0,5.7,4.2,5.7,18.5,7
88,Blake Jarwin,DAL,TE,9,154,17.1,26.7,0,5.2,2.6,5.2,8.2,5.3
89,Eric Tomlinson,NYJ,TE,10,245,24.5,39.3,0,5.3,2.9,5.3,13.1,5.3
89,Matt Lengel,CIN,TE,2,16,8,12.9,0,12.5,6.2,12.5,1.4,8.8
91,Jermaine Gresham,ARI,TE,7,207,29.6,48.8,0,3.4,2.9,3.4,11.8,5.7
92,Levine Toilolo,DET,TE,9,219,24.3,36,0,2.7,2.3,2.7,9.7,4.4
92,David Morgan,MIN,TE,8,173,21.6,31.9,0,3.5,2.9,3.5,8.6,5
92,Scott Simonson,NYG,TE,9,146,16.2,25.3,0,4.1,1.4,4.1,5.1,3.5
95,Antony Auclair,TB,TE,9,150,16.7,23.2,0,3.3,3.3,3.3,7.8,5.2
96,Tyler Conklin,MIN,TE,9,74,8.2,12.2,0,2.7,2.7,2.7,3.3,4.5
97,Lee Smith,OAK,TE,9,158,17.6,26.8,0,2.5,1.9,2.5,5.3,3.4
98,Khari Lee,BUF,TE,2,46,23,18.3,0,2.2,2.2,2.2,1.5,3.3
99,Orson Charles,CLE,TE,10,139,13.9,19.2,0,2.9,1.4,2.9,3.4,2.4
100,Dwayne Allen,NE,TE,10,296,29.6,43,0,1.4,1,1.4,5.7,1.9
101,Dion Sims,CHI,TE,8,195,24.4,32.7,0,2.1,1,2.1,2.9,1.5
102,Chris Manhertz,CAR,TE,9,200,22.2,34.8,0,1,0.5,1,1.2,0.6
103,James Hurst,BAL,TE,6,448,74.7,74,0,0,0,0,0,0
103,Gabe Holmes,ARI,TE,8,81,10.1,18,0,0,0,0,0,0
103,Cole Wick,SF,TE,5,11,2.2,3.1,0,9.1,0,9.1,0,0
103,Alex Ellis,KC,TE,2,11,5.5,5.8,0,0,0,0,0,0
103,Jeremy Sprinkle,WAS,TE,9,179,19.9,29.8,0,1.1,0,1.1,0,0
103,Mason Schreck,CIN,TE,6,21,3.5,4.8,0,0,0,0,0,0
103,Darrell Daniels,SEA,TE,8,67,8.4,12.7,0,1.5,0,1.5,0,0
103,Sean Culkin,LAC,TE,9,148,16.4,27.7,0,0,0,0,0,0
103,Durham Smythe,MIA,TE,9,64,7.1,10.6,0,4.7,0,4.7,0,0
103,Johnny Mundt,LAR,TE,7,21,3,3.1,0,0,0,0,0,0
103,MyCole Pruitt,TEN,TE,8,50,6.2,10.1,0,0,0,0,0,0
103,Ryan Hewitt,IND,TE,7,121,17.3,21.6,0,0.8,0,0.8,0,0
103,Brian Parker,DEN,TE,5,16,3.2,4.7,0,12.5,0,12.5,0,0
103,Nick Deluca,JAX,TE,2,0,0,0,0,0,0,0,0,0
103,Deon Yelder,KC,TE,3,1,0.3,0.6,0,0,0,0,0,0
103,John Phillips,ARI,TE,1,12,12,16.4,0,0,0,0,0,0
