Rank,Name,Team,Position,Played,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
86,Chris Hogan,NE,WR,8,2,1,50,7,1,7,3.5,7,0,0,0,0,0,0,1,7.7
87,Brandon LaFell,OAK,WR,3,1,1,100,6,1,6,6,6,0,0,0,0,0,0,2.5,7.6
88,DeSean Jackson,TB,WR,7,4,0,0,0,0,0,0,0,1,14,14,1,0,0,1.1,7.4
88,Curtis Samuel,CAR,WR,4,0,0,0,0,0,0,0,0,1,14,14,1,0,0,1.8,7.4
88,Tyrell Williams,LAC,WR,7,1,1,100,4,1,4,4,4,0,0,0,0,0,0,1.1,7.4
88,Emmanuel Sanders,DEN,WR,8,6,4,66.7,34,0,13,5.7,8.5,0,0,0,0,0,0,0.9,7.4
92,Tavon Austin,DAL,WR,6,1,1,100,3,1,3,3,3,0,0,0,0,0,0,1.2,7.3
92,Allen Hurns,DAL,WR,7,4,1,25,3,1,3,0.8,3,0,0,0,0,0,0,1,7.3
92,Kelvin Benjamin,BUF,WR,8,3,1,33.3,3,1,3,1,3,0,0,0,0,0,0,0.9,7.3
95,Paul Richardson,WAS,WR,6,1,1,100,2,1,2,2,2,0,0,0,0,0,0,1.2,7.2
96,De'Anthony Thomas,KC,WR,5,1,1,100,1,1,1,1,1,0,0,0,0,0,0,1.4,7.1
96,Ryan Switzer,PIT,WR,7,1,1,100,1,1,1,1,1,0,0,0,0,0,0,1,7.1
98,Keelan Cole,JAX,WR,8,6,3,50,23,0,9,3.8,7.7,0,0,0,0,0,0,0.7,5.3
99,Adam Humphries,TB,WR,7,3,2,66.7,22,0,16,7.3,11,0,0,0,0,0,0,0.6,4.2
100,D.J. Moore,CAR,WR,7,0,0,0,0,0,0,0,0,3,39,13,0,0,0,0.6,3.9
101,Jermaine Kearse,NYJ,WR,7,3,2,66.7,16,0,9,5.3,8,0,0,0,0,0,0,0.5,3.6
102,Golden Tate,DET,WR,7,6,2,33.3,11,0,6,1.8,5.5,0,0,0,0,0,0,0.4,3.1
102,Quincy Enunwa,NYJ,WR,6,7,2,28.6,11,0,8,1.6,5.5,0,0,0,0,0,0,0.5,3.1
104,Geronimo Allison,GB,WR,5,3,2,66.7,8,0,6,2.7,4,0,0,0,0,0,0,0.6,2.8
105,Bennie Fowler,NYG,WR,2,2,1,50,13,0,13,6.5,13,0,0,0,0,0,0,1.2,2.3
105,Martavis Bryant,OAK,WR,6,2,2,100,3,0,6,1.5,1.5,0,0,0,0,0,0,0.4,2.3
107,Victor Bolden Jr.,SF,WR,4,1,1,100,10,0,10,10,10,0,0,0,0,0,0,0.5,2
108,Damion Ratley,CLE,WR,5,1,1,100,8,0,8,8,8,0,0,0,0,0,0,0.4,1.8
109,Marvin Hall,ATL,WR,7,1,1,100,7,0,7,7,7,0,0,0,0,0,0,0.2,1.7
109,Chad Williams,ARI,WR,8,4,1,25,7,0,7,1.8,7,0,0,0,0,0,0,0.2,1.7
111,Alex Erickson,CIN,WR,8,3,1,33.3,6,0,6,2,6,0,0,0,0,0,0,0.2,1.6
111,Michael Gallup,DAL,WR,7,4,1,25,6,0,6,1.5,6,0,0,0,0,0,0,0.2,1.6
111,Neal Sterling,NYJ,WR,5,2,1,50,6,0,6,3,6,0,0,0,0,0,0,0.3,1.6
114,Justin Hardy,ATL,WR,7,1,1,100,4,0,4,4,4,0,0,0,0,0,0,0.2,1.4
114,Pierre Garcon,SF,WR,7,3,1,33.3,4,0,4,1.3,4,0,0,0,0,0,0,0.2,1.4
116,Andre Holmes,BUF,WR,8,2,1,50,3,0,3,1.5,3,0,0,0,0,0,0,0.2,1.3
117,Maurice Harris,WAS,WR,5,2,1,50,2,0,2,1,2,0,0,0,0,0,0,0.2,1.2
118,Albert Wilson,MIA,WR,7,1,0,0,0,0,0,0,0,1,3,3,0,0,0,0,0.3
119,Mike Wallace,PHI,WR,2,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
119,Markus Wheaton,PHI,WR,1,0,0,0,0,0,null,0,0,0,0,0,0,0,0,0,0
119,Deandre Carter,PHI,WR,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
