Rank,Name,Team,Position,Week,Opponent,ReceivingTargets,Receptions,ReceptionPercentage,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerTarget,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
1668,Bennie Fowler,DEN,WR,14,TEN,4,1,25,5,0,5,1.2,5,0,0,0,0,0,0,1.5,1.5
1668,Chris Moore,BAL,WR,14,NE,1,1,100,5,0,5,5,5,0,0,0,0,0,0,1.5,1.5
1668,Justin Hardy,ATL,WR,13,KC,3,1,33.3,5,0,5,1.7,5,0,0,0,0,0,0,1.5,1.5
1668,Ricardo Louis,CLE,WR,7,CIN,3,1,33.3,5,0,5,1.7,5,0,0,0,0,0,0,1.5,1.5
1668,Ryan Grant,WAS,WR,7,DET,2,1,50,5,0,5,2.5,5,0,0,0,0,0,0,1.5,1.5
1668,Andre Holmes,OAK,WR,7,JAX,1,1,100,5,0,5,5,5,0,0,0,0,0,0,1.5,1.5
1668,Cobi Hamilton,PIT,WR,12,IND,1,1,100,5,0,5,5,5,0,0,0,0,0,0,1.5,1.5
1668,Marvin Jones,DET,WR,9,MIN,5,1,20,5,0,5,1,5,0,0,0,0,0,0,1.5,1.5
1668,Travis Benjamin,LAC,WR,9,TEN,1,1,100,5,0,5,5,5,0,0,0,0,0,0,1.5,1.5
1668,Jeremy Butler,LAC,WR,9,TEN,1,1,100,5,0,5,5,5,0,0,0,0,0,0,1.5,1.5
1668,Terrance Williams,DAL,WR,10,PIT,1,1,100,5,0,5,5,5,0,0,0,0,0,0,1.5,1.5
1668,Lucky Whitehead,DAL,WR,10,PIT,1,1,100,5,0,5,5,5,0,0,0,0,0,0,1.5,1.5
1668,Robert Woods,BUF,WR,15,CLE,2,1,50,5,0,5,2.5,5,0,0,0,0,0,0,1.5,1.5
1668,James Wright,CIN,WR,15,PIT,1,1,100,5,0,5,5,5,0,0,0,0,0,0,1.5,1.5
